sweep,sigma_wp,density,r_s,v,E_absorbed_eV,S_eV_per_Bohr,E_absorbed_raw_eV,S_raw_eV_per_Bohr,norm_final,settled,steps_done,complete
slab_ks_wrap,2.0,n100,4.183,2.0,8.919232835264665,0.3567693134105866,16.76210385869581,0.6704841543478324,3.16445147909e-05,True,4078,False
slab_ks_wrap,2.0,n100,4.183,2.5,8.970025403332329,0.3588010161332932,18.718624044518947,0.7487449617807579,4.3917339117e-07,True,3623,True
slab_ks_wrap,2.0,n100,4.183,3.0,7.303202999264613,0.2921281199705845,20.58762371582452,0.8235049486329808,7.00579964237e-09,True,3020,True
slab_ks_wrap,2.0,n100,4.183,3.5,5.476075598269745,0.21904302393078978,18.245702446919495,0.7298280978767798,2.9637355639e-10,True,2588,True
slab_ks_wrap,2.0,n40,5.674,2.0,5.283272672581006,0.21133090690324025,13.17509361552652,0.5270037446210608,2.17399325945e-05,True,4529,True
slab_ks_wrap,2.0,n40,5.674,2.5,3.616928245716281,0.14467712982865122,13.981346273838994,0.5592538509535597,2.34423120177e-07,True,3623,True
slab_ks_wrap,2.0,n40,5.674,3.0,2.384512714366906,0.09538050857467624,17.728508021190123,0.7091403208476049,4.86594621467e-09,True,3020,True
slab_ks_wrap,2.0,n40,5.674,3.5,1.650241007357863,0.06600964029431453,18.43191945947308,0.7372767783789231,1.29669603232e-10,True,2588,True
