sigma,t_ifw,sigma_z2_0,sigma_z2_end,sigma_p_z2_0,sigma_p_z2_end,e_kin_0,e_kin_end,kl_max,dE_wp,sigma_z2_growth,sigma_z2_growth_pct,e_kin_change
0.5,4.8,0.580840305605,61.2576242725,2.00657590088,2.19722726672,181.7402346114341,189.28355377378082,0.003502961423688,-15.921250892913571,60.676783966895,10446.37973318577,7.543319162346734
1.0,9.48,0.512801591428,53.8771249492,0.499816446461,0.613956781325,120.41214215955958,124.14267457686312,0.0114061100822331,-8.278601600161448,53.364323357772,10406.427017741546,3.730532417303536
3.0,10.696909795882643,4.49999895323,24.1976643171,0.0555556559601,0.0822277484986,102.2676164792998,102.27742454945496,0.0439455990872489,-2.5062867470065955,19.697665363869998,437.7259987967652,0.009808070155159498
5.0,5.532884377180677,12.4999968238,13.7246765095,0.0200000579758,0.0219190167994,100.81634213326045,100.74078384793651,0.0023684301088986,,1.2246796857,9.797439975090306,-0.07555828532393605
8.0,0.7377179169574236,31.9916233596,32.0026795471,0.00789130994812,0.00789692043105,100.31971857826109,100.32028834931435,7.838903208437548e-07,-0.0046580958649202,0.011056187500003034,0.03455963261296269,0.0005697710532643896
