time_au,flux_plus,flux_minus,T_cum,R_cum,norm_psi
0.0,8.978179564827911e-07,-2.167585288906038e-06,0.0,0.0,1.0000000000000007
0.2,-1.2429033753960128e-05,-0.003824607223975857,-1.1531215797477338e-06,0.00038267748092647626,0.9999930472400081
0.4,-2.931898560538157e-05,-0.00775975345610581,-5.327923515681904e-06,0.001541113548934643,0.9999441635276708
0.6,-4.4432967621717754e-05,-0.007192033183447194,-1.2703118838391835e-05,0.003036292212889943,0.9997843950731294
0.8,-6.436413050515046e-05,-0.0026624015879541706,-2.3582828651078662e-05,0.00402173569003008,0.9994471827640196
1.0,-8.229218050230007e-05,-0.003030503900128501,-3.824845975182371e-05,0.004591026238838347,0.9989527556367983
1.2,-0.00010115450627848017,0.00030507763921745783,-5.659312842990173e-05,0.004863568864929451,0.998434068738037
1.4000000000000001,-0.0001302776295403822,-0.006589634272238951,-7.973634201178799e-05,0.0054920245282316016,0.9980055503022389
1.6,-0.00016581822189684053,-0.0005481260541976377,-0.00010934592715551025,0.00620580056087526,0.9976789539626705
1.8,-0.00022078789336934965,-0.005173938287530846,-0.00014800653868212926,0.006778006995048109,0.9973803805093566
2.0,-0.00030614757138035774,-0.005495216806046884,-0.00020070008515709999,0.00784492250440588,0.997022665621276
2.2,-0.00043560236261471353,-0.0009204914114415791,-0.0002748750785566072,0.008486493326154728,0.9965717824090552
2.4,-0.0006657493054967178,-0.00795403048055711,-0.0003850102453677502,0.009373945515354596,0.9960620406775574
2.6,-0.0010554052225576257,-0.0018053474425546697,-0.0005571256981731847,0.010349883307665775,0.9955567780681284
2.8000000000000003,-0.001631313022398908,-0.0036874743849856714,-0.0008257975226688384,0.01089916549041981,0.9950915380972991
3.0,-0.002225258462438577,-0.006466592631872336,-0.0012114546711525865,0.01191457219210561,0.994656598303751
3.2,-0.002300214450661127,8.971366286084785e-05,-0.0016640019624625574,0.01255226008900676,0.9942231989336718
3.4,-0.0014664940985922009,-0.006125776781225017,-0.0020406728173878895,0.013155866400843175,0.9937718211156308
3.6,-0.00024961272921018266,-0.0028635082451001336,-0.002212283500168128,0.01405479490347569,0.9932993156919984
3.8000000000000003,0.00018988618329524547,-0.0007054698235776629,-0.002218256154759622,0.01441169271034347,0.9928096223759915
4.0,-4.601752657506377e-05,-0.006609367849353885,-0.0022038692890876035,0.015143176477636624,0.9923053597430369
4.2,0.0001586825446566024,0.0008396430679984628,-0.0021926027872794496,0.015720148955772166,0.9917888379599832
4.4,0.0005948444495430083,-0.004006259046814328,-0.0021172500878594886,0.016036810553653753,0.9912625748699525
4.6000000000000005,0.0008275054510133379,-0.003244483087257377,-0.0019750150978038537,0.016761884767060923,0.9907275707645176
4.8,0.0017082621784533653,0.0005575239936162113,-0.0017214383348571841,0.017030580676425038,0.9901834046342457
5.0,0.0033778842202701375,-0.004989029539158238,-0.0012128236949848334,0.017473731230979242,0.9896256484745432
5.2,0.006517395493561004,-0.00017397235149843406,-0.00022329572360171835,0.01799003142004491,0.9890419725097574
5.4,0.01313481932740266,-0.0015116805399209164,0.0017419257584946498,0.018158596709186844,0.9884036941070593
5.6000000000000005,0.024216560456106144,-0.00352530896536071,0.005477063736845533,0.018662295659715007,0.987648470467025
5.8,0.03955698297362986,0.0008338054106326714,0.011854418079819112,0.01893144601518781,0.9866555476005372
6.0,0.055695893244461364,-0.0030392755168410445,0.02137970570162824,0.01915199302580865,0.985218946050807
6.2,0.06301299711864976,-0.0011632470079356357,0.033250594737939364,0.01957224527828632,0.9830612236454066
6.4,0.059951733505239094,-5.4268311408317864e-05,0.04554706780032826,0.019693996810220715,0.9799268047195909
6.6000000000000005,0.060084341089541735,-0.0029288862487107277,0.05755067525980635,0.01999231226623262,0.9757435729155126
6.8,0.07395644463571122,0.00046238104691356655,0.0709547538323316,0.020238962786412337,0.9706972255478213
7.0,0.08671544197042697,-0.0015881269558189006,0.08702194249294544,0.020351537377302872,0.9650403215461689
7.2,0.08133792185814345,-0.0008412832865868395,0.1038272788758025,0.020594478401543447,0.9587783484868134
7.4,0.07839105480354636,0.0005388857390554065,0.11980017654197149,0.02062471815629659,0.9516493309155634
7.6000000000000005,0.09262609593781476,-0.00128511195787616,0.1369018916161076,0.020699340778178667,0.9434569966047269
7.8,0.0928437154478313,0.003524628919890442,0.15544887275467215,0.02047538908197724,0.9342831313003712
8.0,0.086657833296848,-0.0021994432842893804,0.17339902762914008,0.020342870518417135,0.9243613234396146
8.2,0.09470396765079293,0.011523409072584999,0.19153520772390412,0.019410473939587575,0.9138696805932249
8.4,0.09132242366064762,-0.0047811644711593096,0.21013784685504827,0.018736249479445004,0.9028448935962492
8.6,0.09161955490781608,0.02267804196760304,0.22843204471189457,0.01694656172980064,0.8912505084860844
8.8,0.09438227988684555,-0.007910917403739007,0.24703222819136084,0.015469849273414228,0.8790870189231585
9.0,0.08667758343934545,0.023864492051493044,0.2651382145239799,0.01387449180863883,0.8664112643715721
9.200000000000001,0.09288619115310265,-0.007429836976784267,0.2830945919832248,0.012231026301167944,0.8533290169928771
9.4,0.08334493251796138,0.011962727988796122,0.3007177043503311,0.01177773719996676,0.8399423276068377
9.6,0.08746912341059394,0.01195595751529192,0.3177991099431866,0.009385868649557965,0.8263521317064509
9.8,0.08400416485286538,0.0021744813518763846,0.3349464387695326,0.007972824762841127,0.8125963529649264
10.0,0.07996187342990384,0.021128477836170178,0.35134304259780946,0.005642528844036479,0.7987134422692673
10.200000000000001,0.08368640954455703,0.004961990406073512,0.36770787089525564,0.003033482019812096,0.7847759337138117
10.4,0.07308929709533334,0.0013870468401995925,0.38338544155924464,0.002398578295184788,0.770829246902543
10.6,0.0804385212341176,0.02241142420804103,0.3987382233921897,1.8731190360733816e-05,0.7569132306796521
10.8,0.0671142382872402,0.007432234944463252,0.41349349934432555,-0.0029656347248897103,0.7430481734214085
11.0,0.07638954729226219,0.001019684807344519,0.42784387790227574,-0.0038108267000704845,0.7292878022412338
11.200000000000001,0.06166873494824817,0.017094217465452644,0.44164970612632687,-0.00562221692735021,0.7156545975723184
11.4,0.07293695601704323,0.013462700762552583,0.45511027522285596,-0.00867790875015072,0.7021923180469383
11.6,0.05701768801645288,0.0034885766104651703,0.46810573962620555,-0.01037303648745249,0.6889148781578623
11.8,0.06917589474256236,0.0055233586134705095,0.48072509790210716,-0.011274230009846063,0.6758258944163181
12.0,0.054318155385100715,0.01445034040398114,0.4930745029148734,-0.013271599911591221,0.6629396175322155
12.200000000000001,0.06419149345705075,0.0136809865568582,0.5049254677990886,-0.01608473260767517,0.6502830787805524
12.4,0.052114168122749105,0.0032339164845804273,0.5165560339570686,-0.017776222911819028,0.6378613487308872
12.6,0.0605439235462351,0.0021301641830640964,0.527821843123967,-0.018312630978583478,0.6256757296639743
12.8,0.046414066355319764,0.012254149394033551,0.5385176421141225,-0.01975106233629325,0.6137381614388445
13.0,0.06019558037318608,0.012647555731135986,0.549178606786973,-0.022241232848810195,0.6020632569949761
13.200000000000001,0.03984069283565607,0.007333833407077686,0.5591822341078572,-0.02423937176263157,0.5906341252719852
13.4,0.05936594384761143,0.00229719998651281,0.5691028977761838,-0.02520247510199062,0.5794587606809184
13.6,0.036801830824579586,0.0016899080701162574,0.578719675243403,-0.025601185907653524,0.5685249907641214
13.8,0.05734824299671521,0.010528825944449104,0.5881346826255325,-0.026823059309110067,0.5578475506307529
14.0,0.03681907506838987,0.009247718553187043,0.597551414432043,-0.028800713758873674,0.5474066107171552
14.200000000000001,0.05119294158463028,0.008962178996653289,0.606352616097345,-0.030621703513857717,0.5372040326411136
14.4,0.047108657523813546,0.0021991139048713366,0.6161827760081894,-0.03173783280401018,0.527189859613914
14.6,0.033240873047498995,0.0008105977198440573,0.6242177290653206,-0.03203880396648172,0.5173722750037286
14.8,0.06393850519507518,0.004168310004799811,0.633935666889578,-0.03253669473894611,0.5077092167197554
15.0,0.014816272358194247,0.0057898352537135295,0.641811144644905,-0.03353250926479744,0.49822765767148147
15.200000000000001,0.06364876408046684,0.009830745011906152,0.6496576482887712,-0.035094567291359416,0.48892494371147277
15.4,0.026376922568714125,0.004837551998921588,0.6586602169536893,-0.03656139699244219,0.47980776778761197
15.6,0.02753163646064667,0.005023701290294819,0.6640510728566253,-0.037547522321363824,0.4709167761897646
15.8,0.06584028951483677,-0.000691431238915991,0.6733882654541737,-0.03798074932650171,0.46221675851807864
16.0,0.005699888545580139,0.0019067040790782315,0.6805422832602154,-0.03810227661051793,0.45373289144237183
16.2,0.049939156959492775,0.0035335235362311335,0.6861061878107226,-0.038646299372048866,0.44545576092436007
16.4,0.04784066294816201,0.002779841184628206,0.695884169801488,-0.039277635844134795,0.43732777549993657
16.6,0.0065131796638178445,0.011016021978642002,0.7013195540626861,-0.04065722216046184,0.42938985557127757
16.8,0.046652234637929134,-0.00010910335459735395,0.7066360954928608,-0.041747914022866296,0.4216016525142493
17.0,0.0481264333668781,0.010710140560807088,0.7161139622933415,-0.04280801774348727,0.41393558242357953
17.2,0.005058909412350017,-0.002277771469931778,0.7214324965712643,-0.04365125465257479,0.40644456273824425
17.400000000000002,0.03320157666957456,0.003558036335781733,0.7252585451794568,-0.04377928113915979,0.3991141376822613
17.6,0.0566825764814121,0.0027229517323868876,0.7342469604945554,-0.04440737994597665,0.39191134160132446
17.8,0.010334260769711875,-0.0015735737515346056,0.7409486442196678,-0.04452231774406187,0.3848894296602143
18.0,0.01407372234820893,0.005944468886134458,0.7433894425314599,-0.04495940725752186,0.3780700903888741
