time_au,N_total_wp,N_wp,N_bath_wp,wp_leftfree,wp_rightfree,wp_free_total,bath_free_total,bath_mzCAP,bath_leftfree,bath_slab,bath_rightfree,bath_pzCAP
0.0,235.0,1.0,234.0,0.99991851118488,2.230545328019208e-06,0.999920741730208,9.722668156488773,0.0550999580867362,3.9915108229293,224.13522920124908,5.731157333559473,0.08700268420835011
0.2,234.994037294,0.999993047240008,233.99404424676,0.999289999046252,3.444157477628231e-06,0.9992934432037297,9.722510598766576,0.052120398302640016,3.991371144060378,224.13539834356575,5.731139454706197,0.08401490597505075
0.4,234.988656475,0.9999441635276708,233.98871231147234,0.9908728095132002,7.300645261913926e-06,0.9908801101584621,9.722074738622304,0.049447268136114976,3.990959548360294,224.1358987030512,5.731115190262009,0.08129160166684232
0.6,234.983700857,0.9997843950731298,233.98391646192687,0.9027451258602348,1.4409485935094962e-05,0.9027595353461699,9.721440730587943,0.04703753657076503,3.990335680547001,224.1366592276744,5.7311050500409415,0.07877896688309649
0.8,234.97902681,0.9994471827640194,233.97957962723598,0.6797633846228806,2.501988304939359e-05,0.6797884045059299,9.720717095332777,0.04485924946653429,3.989604388063631,224.13756204829633,5.731112707269146,0.07644123436333519
1.0,234.974587116,0.998952755636798,233.97563436036322,0.5134430620989067,3.9311361362974846e-05,0.5134823734602696,9.719961415787244,0.04289054784324325,3.988809074684436,224.13852941542146,5.731152341102809,0.07425298180437691
1.2,234.970455989,0.9984340687380369,233.97202192026194,0.3840453363370725,5.812445047790418e-05,0.3841034607875504,9.719225299736678,0.041107423054392286,3.9880220283282535,224.13949190458666,5.731203271408425,0.07219729311969153
1.4000000000000001,234.966696999,0.9980055503022386,233.96869144869774,0.3071056532732674,8.19774276060528e-05,0.30718763070087346,9.718573352646601,0.0394960742350903,3.9873325623922184,224.1403593324549,5.731240790254383,0.07026268917819842
1.6,234.963278117,0.99767895396267,233.96559916303733,0.245025758531225,0.0001134288675228,0.2451391873987478,9.718135192529475,0.038041816972915865,3.986783922751578,224.14097987207185,5.731351269777898,0.06844228178086875
1.8,234.960087948,0.9973803805093567,233.96270756749064,0.2076585016907807,0.000156430152978,0.2078149318437587,9.717771265110233,0.03672835607893999,3.986221831511923,224.1414766237064,5.73154943359831,0.06673132255966323
2.0,234.957007363,0.9970226656212762,233.95998469737873,0.1757417632525915,0.0002157264475362,0.1759574897001277,9.717413767959638,0.03554970778216878,3.98566775156631,224.14189511500905,5.731746016393329,0.06512610687742634
2.2,234.953975194,0.996571782409055,233.95740341159095,0.1534452393551938,0.0003008926541043,0.1537461320092981,9.71692125119457,0.03448920205218846,3.9850803643654062,224.14236853045503,5.731840886829164,0.06362442828616711
2.4,234.951002777,0.9960620406775569,233.95494073632247,0.1359024786779865,0.0004255608815566,0.1363280395595431,9.716328350274246,0.03353842178809207,3.9845401044752315,224.14285052717486,5.731788245799014,0.06222343752760337
2.6,234.948134056,0.9955567780681277,233.95257727793185,0.1211098157710393,0.0006102426270587,0.12172005839809799,9.71576736465622,0.03268943800362121,3.9841600228837906,224.14320044629508,5.731607341772429,0.060920028877616994
2.8000000000000003,234.945388231,0.9950915380972991,233.9502966929027,0.1099685287797562,0.0008750737532398,0.110843602532996,9.71534482000737,0.031928625694315836,3.9839747791314952,224.14331199351633,5.731370040875876,0.059711253361541344
