time_au,wp_zc,wp_sigma_z,wp_centroid_vz
0.0,-15.4992077009,0.36970996940980644,2.640695196499996
0.2,-14.9710686616,0.4891344629414288,2.643576712749997
0.4,-14.4417770158,0.7405661168025445,2.6516508992500007
0.6,-13.9104083019,1.0309019719740573,2.6655794132500006
0.8,-13.3755452505,1.33331319271955,2.6862289575000062
1.0,-12.8359167189,1.6408660391939374,2.7119402579999985
1.2,-12.2907691473,1.9557693699002447,2.743332474999999
1.4,-11.7385837289,2.2853343245529745,2.7855609427500028
1.6,-11.1765447702,2.632221178235218,2.8327046275
1.8,-10.6055018779,2.976559315127115,2.847830029249998
2.0,-10.0374127585,3.274341323304582,2.797413073599998
2.2,-9.48653664846,3.504059153324898,2.7225453920499945
2.4,-8.94839460168,3.7046711282514675,2.697562860075003
2.6,-8.40751150443,3.9237411262594786,2.7144409919999966
2.8,-7.86261820488,4.160642913541127,2.7293203761750036
3.0,-7.31578335396,4.407012192619848,2.7394972607499994
3.2,-6.76681930058,4.659478084678583,2.7466932677749956
3.4,-6.21710604685,4.914062941039726,2.749725407625002
3.6,-5.66692913753,5.169804324875362,2.7542493869249967
3.8,-5.11540629208,5.42742760954027,2.756611931175005
4.0,-4.56428436506,5.685020707112684,2.761057649474999
4.2,-4.01098323229,5.944536565822436,2.762561090574998
4.4,-3.45925992883,6.203302551971813,2.765626303250005
4.6,-2.90473271099,6.4637220895316965,2.766854160250002
4.8,-2.35251826473,6.723371207682943,2.765440394299996
5.0,-1.79855655327,6.983581716225564,2.7666677094999974
5.2,-1.24585118093,7.243183603809861,2.755860321327498
5.4,-0.696212424739,7.501362399051255,2.749536680465004
5.6,-0.146036508744,7.757155680853646,2.7182538209975036
5.8,0.39108910366,8.008309312389226,2.675534373469998
6.0,0.924177240644,8.250870560928707,2.595321702299998
6.2,1.42921778458,8.48327175860823,2.466341978514998
6.4,1.91071403205,8.701268160199408,2.306146551175002
6.6,2.35167640505,8.908672114512914,2.0734220166250044
6.8,2.7400828387,9.113364416712415,1.8327961711749978
7.0,3.08479487352,9.318188100381962,1.532519760475
7.2,3.35309074289,9.534528878696628,1.2653184005499991
7.4,3.59092223374,9.740853775239621,1.1140053339999998
7.6,3.79869287649,9.933033493460092,1.0231744177750013
7.8,4.00019200085,10.105616358936253,1.056969711549998
8.0,4.22148076111,10.253724975002987,0.9157289594749987
8.2,4.36648358464,10.421534014721633,0.7257954132749997
8.4,4.51179892642,10.573890953712356,0.658180332449998
8.6,4.62975571762,10.721271676811478,0.36808700360000124
8.8,4.65903372786,10.89004187590663,0.27227883752500226
9.0,4.73866725263,11.017023408752475,0.5336226282500025
9.2,4.87248277916,11.105233598533621,0.3832567225000023
9.4,4.89196994163,11.233507268391293,-0.03586569715000287
9.6,4.8581365003,11.368356752495059,0.19006736989999418
9.8,4.96799688959,11.423822741753305,0.4123587046499999
10.0,5.02307998216,11.495243146928212,-0.07816521342500238
10.2,4.93673080422,11.615959767965796,-0.07406068672500332
10.4,4.99345570747,11.65938807510926,0.2536108511999995
10.6,5.0381751447,11.701301442318286,0.02374759102500157
10.8,5.00295474388,11.768085843458145,-0.07151860319999948
11.0,5.00956770342,11.807176746919646,0.007884812149999476
11.2,5.00610866874,11.84430735796737,-0.05061923465000007
11.4,4.98932000956,11.88066447497782,-0.06556554169999984
11.6,4.97988245206,11.907243676057025,0.04675369467499735
11.8,5.00802148743,11.91207852425428,0.0568180407249983
12.0,5.00260966835,11.927274723087416,-0.02333889365000097
12.2,4.99868592997,11.937250528115761,-0.06965649282499875
12.4,4.97474707122,11.952989175055752,-0.07603222324999948
12.6,4.96827304067,11.957262786858873,0.05082232147499788
12.8,4.99507599981,11.945419913548456,0.1324748084999996
13.0,5.02126296407,11.932303100198219,0.11901281445000045
13.2,5.04268112559,11.920740878863192,0.1045170014749992
13.4,5.06306976466,11.908969430475501,0.010858972799999478
13.6,5.04702471471,11.913980176456565,0.03687216537499971
13.8,5.07781863081,11.89750224648014,0.08509698269999788
14.0,5.08106350779,11.895690077376763,0.10633115447500074
14.2,5.1203510926,11.876409940466015,0.25188654675000066
14.4,5.18181812649,11.850170985053339,0.13788888704999636
14.6,5.17550664742,11.851997948067659,0.260102240774998
14.8,5.2858590228,11.80274962862468,0.04191356717499595
15.0,5.19227207429,11.844000140366429,0.1520742377750004
15.2,5.34668871791,11.7709665552579,-0.06254025797499096
15.4,5.1672559711,11.850402474937296,0.019049304475005968
15.6,5.3543084397,11.757294968401533,0.045015199800005234
15.8,5.18526205102,11.831806346581235,-0.13676522137499347
16.0,5.29960235115,11.767777870949129,0.3165925842750017
16.2,5.31189908473,11.758690869692936,-0.1706271673499984
16.4,5.23135148421,11.785535146483591,0.31842752147498565
16.6,5.43927009332,11.680479763776829,0.17304552332498346
16.8,5.30056969354,11.741376646756548,-0.11214993710000165
17.0,5.39441011848,11.684084903791138,0.554749043250002
17.2,5.52246931084,11.615279256005858,0.06662797365000017
17.4,5.42106130794,11.65766698851018,-0.07015244407500809
17.6,5.49440833321,11.609738883713105,0.5313353659249991
17.8,5.63359545431,11.536100131456905,-0.29270727799999996
18.0,5.37732542201,11.653620739667135,-1.2813501615000036
