time_au,N_wp,N_total_wprun,N_bath_wprun,abs_wpself,abs_bath_wprun
0.0,1.0000000000000007,235.0,234.0,0.0,0.0
0.2,0.9999930472400081,234.994037294,233.99404424676,6.952759992517876e-06,0.005955753239987871
0.4,0.9999441635276707,234.988656475,233.98871231147234,5.583647232998423e-05,0.011287688527659157
0.6,0.9997843950731294,234.983700857,233.98391646192687,0.0002156049268712268,0.016083538073132786
0.8,0.9994471827640196,234.97902681,233.97957962723598,0.0005528172359811068,0.020420372764021977
1.0,0.9989527556367983,234.974587116,233.97563436036322,0.0010472443632023598,0.024365639636783953
1.2,0.998434068738037,234.970455989,233.97202192026194,0.0015659312619636934,0.027978079738062434
1.4000000000000001,0.9980055503022389,234.966696999,233.96869144869774,0.0019944496977617465,0.03130855130225996
1.6,0.9976789539626706,234.963278117,233.96559916303733,0.0023210460373300768,0.03440083696267493
1.8,0.9973803805093566,234.960087948,233.96270756749064,0.002619619490644043,0.03729243250936065
2.0,0.997022665621276,234.957007363,233.95998469737873,0.0029773343787247164,0.04001530262127062
2.2,0.9965717824090551,234.953975194,233.95740341159095,0.0034282175909455814,0.04259658840905445
2.4,0.9960620406775574,234.951002777,233.95494073632247,0.00393795932244323,0.04505926367752977
2.6,0.9955567780681284,234.948134056,233.95257727793185,0.004443221931872299,0.04742272206814846
2.8000000000000003,0.9950915380972992,234.945388231,233.9502966929027,0.004908461902701444,0.049703307097303195
3.0,0.994656598303751,234.942741833,233.94808523469626,0.005343401696249694,0.051914765303735066
3.2,0.9942231989336718,234.940154554,233.94593135506634,0.005776801066328829,0.0540686449336647
3.4,0.9937718211156308,234.937597171,233.94382534988435,0.006228178884369884,0.05617465011565059
3.6,0.9932993156919984,234.93505838,233.941759064308,0.006700684308002303,0.058240935691998175
3.8000000000000003,0.9928096223759915,234.932535255,233.939725632624,0.007190377624009203,0.06027436737599601
4.0,0.9923053597430368,234.93002462,233.93771926025698,0.0076946402569638694,0.06228073974301651
4.2,0.9917888379599832,234.927523893,233.93573505504003,0.008211162040017483,0.06426494495997304
4.4,0.9912625748699525,234.925031452,233.93376887713006,0.00873742513004816,0.0662311228699366
4.6000000000000005,0.9907275707645175,234.922544785,233.9318172142355,0.009272429235483215,0.06818278576449188
4.8,0.9901834046342457,234.920060477,233.92987707236574,0.009816595365754965,0.07012292763425876
5.0,0.9896256484745432,234.917571537,233.92794588852544,0.010374351525457515,0.0720541114745572
5.2,0.9890419725097574,234.915063448,233.92602147549024,0.010958027490243216,0.07397852450975506
5.4,0.9884036941070593,234.912505654,233.92410195989294,0.011596305892941361,0.07589804010706303
5.6000000000000005,0.987648470467025,234.909834215,233.92218574453295,0.012351529532975691,0.07781425546704668
5.8,0.9866555476005372,234.906927,233.92027145239945,0.013344452399463469,0.0797285476005527
