time_au,z_ion_wrapped,wp_mzCAP,cl_mzCAP,wp_leftfree,cl_leftfree,wp_slab,cl_slab,wp_rightfree,cl_rightfree,wp_pzCAP,cl_pzCAP
0.0,-15.5,1.3319839581904007e-07,5.5082885475066234e-09,0.9999185111848801,0.9999999944917115,7.90555871937517e-05,0.0,2.230545328019208e-06,0.0,6.948420242967227e-08,0.0
0.2,-14.95778498682231,0.00033802943423209207,1.886268918838141e-13,0.9992899990462519,0.9999999999987197,0.0003563427720232863,1.0916823001139164e-12,3.444157477628231e-06,0.0,5.231830023150256e-06,0.0
0.4,-14.41558747806303,0.0015570060327625814,0.0,0.9908728095132002,0.999999977889364,0.007485324533091747,2.2110635933270117e-08,7.300645261913926e-06,0.0,2.172280335440824e-05,0.0
0.6,-13.87344325416013,0.0030590080617194726,0.0,0.9027451258602348,0.9999564769774967,0.09391307646035411,4.3523022503322295e-05,1.4409485935094962e-05,0.0,5.277520488630335e-05,0.0
0.8,-13.33139031198727,0.004323713607225478,0.0,0.6797633846228806,0.9912350503190509,0.31523083638768995,0.008764949680949097,2.501988304939359e-05,0.0,0.00010422826317420734,0.0
1.0,-12.78946406158289,0.0038931149022044986,0.0,0.5134430620989067,0.7958928548542337,0.481389498225475,0.2041071451457664,3.9311361362974846e-05,0.0,0.0001877690488490386,0.0
1.2,-12.24769966121807,0.0042378272764004654,0.0,0.3840453363370725,0.23549840890927132,0.6097633311418409,0.7645015910907287,5.812445047790418e-05,0.0,0.0003294495322451514,0.0
1.4000000000000001,-11.70613361720872,0.004221821317713849,0.0,0.3071056532732674,0.011658824547951252,0.6860144006911744,0.9883411754520488,8.19774276060528e-05,0.0,0.0005816975924769033,0.0
1.6,-11.16481390484238,0.004159353247538488,0.0,0.245025758531225,6.814183042819222e-05,0.7473698376563405,0.9999318581695718,0.0001134288675228558,0.0,0.0010105756600435152,0.0
1.8,-10.6238009200937,0.004533068830804551,0.0,0.20765850169078073,4.1480161971918506e-08,0.7834464266655534,0.999999958519838,0.00015643015297801783,0.0,0.0015859531692401538,0.0
2.0,-10.08316907628933,0.004307264845231187,0.0,0.17574176325259153,2.506106433486366e-12,0.8147154538205792,0.9999999999974939,0.00021572644753628382,0.0,0.002042457255338185,0.0
2.2,-9.54300142037571,0.0048526234689414,0.0,0.1534452393551938,0.0,0.8358972747401575,1.0,0.0003008926541043608,0.0,0.0020757521906579063,0.0
2.4,-9.003381045739191,0.005511477890756169,0.0,0.1359024786779865,0.0,0.8524528268306897,1.0,0.0004255608815566851,0.0,0.0017696963965680387,0.0
2.6,-8.464381968351262,0.005825357975620053,0.0,0.12110981577103935,0.0,0.866578528915493,1.0,0.0006102426270587126,0.0,0.0014328327789167653,0.0
2.8000000000000003,-7.9260663098250035,0.006484717951519896,0.0,0.10996852877975624,0.0,0.8766788799414963,1.0,0.0008750737532398153,0.0,0.0010843376712870612,0.0
3.0,-7.38848008804117,0.006742984062981301,0.0,0.10017235028103265,0.0,0.8858522241917932,1.0,0.0011971793699471812,0.0,0.0006918603979972572,0.0
3.2,-6.851654908801752,0.0070287951089858264,0.0,0.09202895271694606,0.0,0.893358184976091,1.0,0.0014640957861067453,0.0,0.00034317034554209164,0.0
3.4,-6.315611801189089,0.007392967879135964,0.0,0.08522811264415112,0.0,0.8995009933621587,1.0,0.001503315362490475,0.0,0.00014643186769427592,0.0
3.6,-5.780366803423586,0.007463072965831133,0.0,0.07920371570171475,0.0,0.9052568479270056,1.0,0.0012452890957221113,0.0,0.00013039000172485597,0.0
3.8000000000000003,-5.245933000309066,0.007681275893327726,0.0,0.07392631989204755,0.0,0.9101765050502774,1.0,0.0008520056543216784,0.0,0.000173515886017533,0.0
4.0,-4.712326444071163,0.007751201221990529,0.0,0.06949741159894456,0.0,0.9143514278439379,1.0,0.0005416460727565957,0.0,0.00016367300540764694,0.0
4.2,-4.179567734752439,0.007827411420324153,0.0,0.06526443493250451,0.0,0.9178709428953133,1.0,0.0005935511388839241,0.0,0.00023249757295742529,0.0
4.4,-3.6476802202022185,0.007767545211829209,0.0,0.0618085583679504,0.0,0.9198425027745826,1.0,0.0015555230476079678,0.0,0.00028844546798244535,0.0
4.6000000000000005,-3.116691715428928,0.007857690266670235,0.0,0.05842554822700403,0.0,0.9199968812789364,1.0,0.004038621525822262,0.0,0.000408829466084243,0.0
4.8,-2.586633292278094,0.007710667519152617,0.0,0.05567543665680418,0.0,0.9173866783316732,1.0,0.008795513298964433,0.0,0.0006151088276511951,0.0
5.0,-2.0575360461570575,0.007629400850029761,0.0,0.05284785715738267,0.0,0.9110685622341989,1.0,0.017084175347149212,0.0,0.000995652885782748,0.0
5.2,-1.529430588927898,0.0076876543344572106,0.0,0.050630671728840795,0.0,0.8997903959800165,1.0,0.029110448235335797,0.0,0.0018228022311070928,0.0
5.4,-1.002344426441276,0.007360519598641897,0.0,0.04835208358037603,0.0,0.8869585191125545,1.0,0.04225597267874073,0.0,0.0034765991367462223,0.0
5.6000000000000005,-0.47630405874130943,0.007457916334621055,0.0,0.04628409383317412,0.0,0.874480697662042,1.0,0.05267174994289271,0.0,0.006754012694295021,0.0
5.8,0.04866619452746335,0.007399639299690528,0.0,0.044663154069933285,0.0,0.8616493629009804,1.0,0.0603814160316485,0.0,0.012561975298284653,0.0
6.0,0.572542727598254,0.007117926214349901,0.0,0.04267768249651424,0.0,0.844953861873787,1.0,0.06945627954825323,0.0,0.021013195917902596,0.0
6.2,1.095302877035632,0.007639322410227989,0.0,0.0413411165191106,0.0,0.8247822368135448,1.0,0.07836906516303456,0.0,0.030929482739488846,0.0
6.4,1.6169241043445801,0.00750261356074005,0.0,0.039866497655027616,0.0,0.8076140512215556,1.0,0.08497364023574694,0.0,0.03997000204652072,0.0
6.6000000000000005,2.1373847616103454,0.00822099185769734,0.0,0.03836618547069894,0.0,0.7886905661322171,1.0,0.09404667162253344,0.0,0.046419157832365804,0.0
6.8,2.6566630162426357,0.009709749607327789,0.0,0.0374582619361019,0.0,0.7665308024741088,1.0,0.10457977696905878,0.0,0.05241863456122406,0.0
7.0,3.1747375143377816,0.01091959266474914,0.0,0.03611862244770002,0.0,0.7475790715856275,1.0,0.1099093587819678,0.0,0.06051367606612467,0.0
7.2,3.691588346951427,0.014513119274741276,0.0,0.03522086784272725,0.0,0.7262978931647184,1.0,0.11434980806691597,0.0,0.0683966601377105,0.0
7.4,4.207197684759457,0.01719419190224047,0.0,0.03462426395829256,0.0,0.7045056452644042,1.0,0.12071767759493737,0.0,0.07460755219568871,0.0
7.6000000000000005,4.721548626956665,0.019956939105595234,0.0,0.0337916654812683,0.0,0.6849157664910122,1.0,0.1250075894688748,0.0,0.07978503605797639,0.0
7.8,5.2346237202425385,0.023443573492268666,0.0,0.033623240823660534,0.0,0.6630619332062544,1.0,0.12869963290600392,0.0,0.08545475087218397,0.0
8.0,5.746405331060473,0.02306800542412287,0.0,0.03417492041991673,0.0,0.6434104691360291,1.0,0.13160913378204195,0.0,0.09209879467750375,0.0
8.2,6.256873355252303,0.027251162072224545,0.0,0.033614634763973146,0.0,0.6230264528189606,1.0,0.1331300289024664,0.0,0.09684740203560034,0.0
