time_au,cl_z,cl_vz
0.0,-15.5,2.71106334010243
0.02,-15.4457787040921,2.711068307571913
0.04,-15.39155726769712,2.711074503170623
0.06,-15.33733572396528,2.711080106471186
0.08,-15.28311406343828,2.711083811343812
0.1,-15.22889237151153,2.711084612401178
0.12,-15.17467067894223,2.711081639494981
0.14,-15.12044910593173,2.711076636673893
0.16,-15.06622761347527,2.711071631334733
0.18,-15.01200624067834,2.711065666323984
0.2,-14.95778498682231,2.71105995282121
0.22,-14.90356384256549,2.711052056066698
0.24,-14.84934290457965,2.711041284298382
0.26,-14.79512219119356,2.711029194465091
0.28,-14.74090173680104,2.711014522734993
0.3,-14.68668161028416,2.710995818830404
0.32,-14.63246190404783,2.710973685394189
0.34,-14.57824266286839,2.710951595655918
0.36,-14.52402384022159,2.710929973712128
0.38,-14.4698054639199,2.710909053963975
0.4,-14.41558747806303,2.71088548452739
0.42,-14.36137004453881,2.710857892001509
0.44,-14.30715316238297,2.710829153366482
0.46,-14.25293687840415,2.710798892246648
0.48,-14.1987212066931,2.710765367000375
0.5,-14.14450626372413,2.710728782400224
0.52,-14.0902920553971,2.710690901980474
0.54,-14.03607862764492,2.710650843741019
0.56,-13.98186602164746,2.710610936698117
0.58,-13.92765419017699,2.710569187183123
0.6,-13.87344325416013,2.7105244028596
0.62,-13.81923321406261,2.710477240989148
0.64,-13.76502416452056,2.71042751890861
0.66,-13.71081611330626,2.710377543063674
0.68,-13.65660906279802,2.710324699414523
0.7000000000000001,-13.60240312532968,2.710269238228598
0.72,-13.54819829326887,2.710213501728642
0.74,-13.49399458526053,2.710158012755255
0.76,-13.43979197275866,2.710101613038171
0.78,-13.38559052073901,2.710041519284705
0.8,-13.33139031198727,2.709978872225628
0.8200000000000001,-13.27719136584998,2.709913695258177
0.84,-13.22299376417695,2.709845859473851
0.86,-13.16879753147103,2.709776872688376
0.88,-13.11460268926941,2.709706942042333
0.9,-13.06040925378933,2.709635996316714
0.92,-13.00621724941674,2.709564914329786
0.94,-12.95202665721614,2.709492484430696
0.96,-12.89783755003952,2.709416711319057
0.98,-12.84364998876338,2.709337211415549
1.0,-12.78946406158289,2.709256298567069
1.02,-12.7352797368207,2.70917420926814
1.04,-12.68109709321217,2.709088920194838
1.06,-12.62691618001291,2.70900211895274
1.08,-12.57273700845406,2.708914029225502
1.1,-12.51855961884389,2.708826978752648
1.12,-12.46438392930395,2.708740237127685
1.14,-12.41021000935878,2.708649048508658
1.16,-12.35603796736361,2.708554421583072
1.18,-12.30186783249546,2.708457653638425
1.2,-12.24769966121807,2.708358770615009
1.22,-12.19353348167086,2.708258258497465
1.24,-12.13936933087817,2.708156272070432
1.26,-12.08520723078804,2.708052492063543
1.28,-12.03104723119563,2.707948641844381
1.3,-11.97688928511426,2.707843953735948
1.32,-11.92273347304619,2.707734536732123
1.34,-11.86857990364498,2.707618904175258
1.36,-11.81442871687918,2.707498852365377
1.38,-11.76027994955036,2.707377491761483
1.4,-11.70613361720872,2.707255322479332
1.42,-11.65198973665119,2.707131250968938
1.44,-11.59784836716997,2.707005826714156
1.46,-11.54370950358263,2.70687920803854
1.48,-11.48957319884843,2.70674952903899
1.5,-11.43543952242107,2.706615407871887
1.52,-11.38130858253355,2.706476207672119
1.54,-11.32718047411418,2.706331770346474
1.56,-11.27305531171969,2.706184321344832
1.58,-11.21893310126039,2.706035171932795
1.6,-11.16481390484238,2.705883831995114
1.62,-11.11069774798059,2.705730157117145
1.64,-11.0565846985577,2.705574357130808
1.66,-11.00247477369535,2.705415528544191
1.68,-10.94836807741593,2.705251512794891
1.7,-10.89426471318356,2.705082582876395
1.72,-10.84016477410088,2.704908712318023
1.74,-10.78606836469084,2.704731215205175
1.76,-10.73197552549267,2.704550451430742
1.78,-10.67788634663361,2.704365134974234
1.8,-10.6238009200937,2.704176845802421
1.82,-10.56971927280151,2.703985727238228
1.84,-10.51564149100417,2.703791080116361
1.86,-10.46156762959686,2.703591984233161
1.88,-10.40749781163484,2.703387489067262
1.9,-10.35343213003417,2.70317739200063
1.92,-10.29937071595482,2.702962569642441
1.94,-10.24531362724847,2.702743848942025
1.96,-10.19126096199714,2.70252178686215
1.98,-10.13721275577399,2.702297142695131
2.0,-10.08316907628933,2.702067844612877
2.02,-10.02913004198947,2.701835755840033
2.04,-9.975095646055731,2.701599144477917
2.06,-9.921066076210352,2.70135737587261
2.08,-9.867041351020829,2.701109495272941
2.1,-9.813021696399437,2.700854317624463
2.12,-9.75900717831585,2.700596793588244
2.14,-9.704997824655909,2.700337372551296
2.16,-9.650993683413798,2.700074388755574
2.18,-9.596994849105684,2.699806575952217
2.2,-9.54300142037571,2.69953606736548
2.22,-9.489013406411066,2.699261667348368
2.24,-9.435030953681776,2.698981812848491
2.26,-9.381054133897129,2.698697020917214
2.28,-9.327083072845086,2.698406344795845
2.3,-9.273117880105293,2.698113389604874
2.32,-9.219158537260892,2.6978190057883
2.34,-9.16520511987376,2.697521172136919
2.36,-9.111257690375416,2.697220143003863
2.38,-9.057316314153606,2.696916115905624
2.4,-9.003381045739191,2.696607388333722
2.42,-8.949452018620258,2.696293068317885
2.44,-8.895529323006475,2.695975331856304
2.46,-8.841613005346005,2.695655271946403
2.48,-8.787703112128618,2.695332978647456
2.5,-8.733799686200106,2.695007801142568
2.52,-8.679902800082916,2.694678996331583
2.54,-8.626012526346843,2.69434720527762
2.56,-8.572128911871811,2.694012259104012
2.58,-8.518252035982684,2.693673588013768
2.6,-8.464381968351262,2.693331086239139
2.62,-8.41051879253312,2.692986467549478
2.64,-8.356662509649283,2.69264010734741
2.66,-8.302813188239222,2.692291379795384
2.68,-8.248970854457466,2.691941086078095
