time_au,flux_-17.5,cum_-17.5,flux_-12.5,cum_-12.5,flux_12.5,cum_12.5,flux_17.5,cum_17.5
0.0,-2.167585288906038e-06,0.0,-6.63907535517948e-05,0.0,3.4944206377419655e-06,0.0,8.978179564827911e-07,0.0
0.2,-0.003824607223975857,-0.00038267748092647626,0.011219533817748087,0.001115314306419629,-5.064144053284139e-06,-1.5697234155421734e-07,-1.2429033753960128e-05,-1.1531215797477338e-06
0.4,-0.00775975345610581,-0.001541113548934643,0.276387463764047,0.029876014064599138,-1.2371866276070089e-05,-1.9005733744896401e-06,-2.931898560538157e-05,-5.327923515681904e-06
0.6,-0.007192033183447194,-0.003036292212889943,1.0953926735464323,0.16705402779564704,-1.1575440427703778e-05,-4.295304044867026e-06,-4.4432967621717754e-05,-1.2703118838391835e-05
0.8,-0.0026624015879541706,-0.00402173569003008,1.0209592425244525,0.3786892194027356,-2.4507750846161746e-05,-7.903623172253579e-06,-6.436413050515046e-05,-2.3582828651078662e-05
1.0,-0.003030503900128501,-0.004591026238838347,0.6344073563482306,0.5442258792900039,-2.6823092100233585e-05,-1.3036707466893111e-05,-8.229218050230007e-05,-3.824845975182371e-05
1.2,0.00030507763921745783,-0.004863568864929451,0.44305235841550206,0.6519718507663771,-2.975892962349715e-05,-1.8694909639266185e-05,-0.00010115450627848017,-5.659312842990173e-05
1.4000000000000001,-0.006589634272238951,-0.0054920245282316016,0.28624074111815373,0.7249011607197428,-4.444700910385205e-05,-2.6115503512001112e-05,-0.0001302776295403822,-7.973634201178799e-05
1.6,-0.0005481260541976377,-0.00620580056087526,0.18870618863181332,0.7723958536947394,-4.445350129307703e-05,-3.5005554551694015e-05,-0.00016581822189684053,-0.00010934592715551025
1.8,-0.005173938287530846,-0.006778006995048109,0.15862217991639704,0.8071286905495604,-5.342766236764702e-05,-4.4793670917766415e-05,-0.00022078789336934965,-0.00014800653868212926
2.0,-0.005495216806046884,-0.00784492250440588,0.08599427487066659,0.8315903360282667,-6.203124414201549e-05,-5.633956156873266e-05,-0.00030614757138035774,-0.00020070008515709999
2.2,-0.0009204914114415791,-0.008486493326154728,0.0981291066922443,0.8500026741845578,-5.813429570466224e-05,-6.835611555340045e-05,-0.00043560236261471353,-0.0002748750785566072
2.4,-0.00795403048055711,-0.009373945515354596,0.0517069760374382,0.864986282457526,-7.38786787406223e-05,-8.155741299792888e-05,-0.0006657493054967178,-0.0003850102453677502
2.6,-0.0018053474425546697,-0.010349883307665775,0.053273265656693665,0.8754843066269391,-8.908544370349439e-05,-9.785382524234057e-05,-0.0010554052225576257,-0.0005571256981731847
2.8000000000000003,-0.0036874743849856714,-0.01089916549041981,0.046168541955336734,0.8854284873881422,-0.00012055948301434656,-0.00011881831791412469,-0.001631313022398908,-0.0008257975226688384
3.0,-0.006466592631872336,-0.01191457219210561,0.024699458069871023,0.892515287390663,-0.00019701847461621837,-0.00015057611367718114,-0.002225258462438577,-0.0012114546711525865
3.2,8.971366286084785e-05,-0.01255226008900676,0.037550338138496744,0.8987402670114998,-0.00030621590475353043,-0.00020089955161415606,-0.002300214450661127,-0.0016640019624625574
3.4,-0.006125776781225017,-0.013155866400843175,0.019985835157459962,0.9044938843410955,-0.0005022553901728885,-0.00028174668110679784,-0.0014664940985922009,-0.0020406728173878895
