tag,half,mass,sigma_WP_nominal,sigma_iso_t0,sigma_iso_mid,spread_factor,S_ev_per_bohr,S_stderr,S_r2,S_n,mean_v,v_drop_frac,S_ke_crosscheck,T1_loss_ev,var_p_gain_ev,note
cl_inf,classical,inf,4.0,2.82842712474619,2.82842712474619,1.0,0.3000078777789133,0.35540622947653716,0.0010227314535098397,698,1.074268545295702,4.981994727870642e-08,9.222640015409295e-08,,,
cl_m1,classical,inf,4.0,2.82842712474619,2.82842712474619,1.0,0.004350541299898477,0.3602814256563546,2.160224960023882e-07,677,1.1085765754807932,0.06948487383089053,0.10516586735564683,,,
wp_m3,wp,3.0,4.0,2.828423806709724,3.4765086989328857,1.2291328798342538,0.5857911696302195,0.021770653049353293,0.5265478435829329,653,1.1492670522400639,-0.03913038484947351,0.03904276106747221,2.1802411937215638,0.1356937157422849,
wp_m1p2,wp,1.2,4.0,2.8284238067833805,5.177124613226784,1.8303921077211054,0.1789726088836337,0.005850473080976544,0.6093285848109098,602,1.2466811975338912,-0.11292685823112802,0.03155121650015147,1.784366546258891,0.16139193995187795,
wp_m1,wp,1.0,4.0,2.8284238070426535,5.828897673154447,2.0608289530871375,0.14004086737562263,0.004238771885596022,0.649898816731598,590,1.2714651492124847,-0.13402884368851908,0.03479740256600677,1.9605614041523403,0.16230077574873314,
wp_m0p5,wp,0.5,4.0,2.828435576240123,9.277741646882474,3.280167214985854,0.05868378959323318,0.0008149482519450217,0.8226333786567007,1120,1.3394411327052687,-0.18505280740740804,0.06068585500522815,3.1001481445029775,0.31937110010083325,
wp_m1_s2p0,wp,1.0,2.0,1.4142137643675279,8.841192942271626,6.251666590323161,0.13728407288160915,0.0025345413450677126,0.8290416968373743,607,1.2345794640989325,-0.12272813498461987,0.07743912029658245,3.9790261122199784,-0.1113302608991864,
wp_m1_s3p0,wp,1.0,3.0,2.1213203482839016,6.85808986637915,3.2329345598024286,0.1346194452450402,0.003762560198594872,0.6837799564844546,594,1.2622071760571565,-0.13461282041182154,0.046951006956502665,2.5873723642974547,0.12424457871574113,
wp_m1_s6p0,wp,1.0,6.0,4.234833538547478,5.6764387344664,1.3404160241002965,0.11863910664020987,0.004464472499599019,0.5456582647538739,590,1.2703713544381492,-0.13513729046812029,0.020556254838003617,1.1781051997834187,0.15501741431245364,
