tag,v,E_eV,S_eVbohr,deposited_eV,converged,norm_f,late_slope_eV_au,bound,N_drain_frac,wall_s
p5_wp_v1p3,1.3,22.9936213813,2.374189771843933,59.35474429609833,False,0.0954791920722,-0.0163259603634218,upper,0.0110866652494108,16234.5069841
p4_wp_v2p0,2.0,54.422772,2.3909127427668584,59.772818569171456,False,0.0937500324009,-0.0461330453052406,upper,0.0109459872108565,18264.944337
p5_wp_v3p0,3.0,122.451238125,2.565605599686062,64.14013999215155,False,0.0619952311699,-0.2985906819077372,upper,0.0113046181602545,11479.5384416
p5_wp_v4p0,4.0,217.69109,4.504522835550157,112.61307088875392,False,0.0296398258688,-1.2161722801515311,upper,0.0116926363963996,11537.0182793
p5_wp_v5p0,5.0,340.142328125,9.781861658415307,244.54654146038268,False,0.0568723629237,-6.06428422915145,upper,0.011362986130134211,55763.0788759
p5_wp_v6p0,6.0,489.8049525,18.895372176082667,472.3843044020667,False,0.0261590933395,4.728816956944339,lower,0.0117342304217008,9309.09991453
