sigma_wp,v,step_matched,window,S_cap_on,S_cap_off,delta_eV_per_Bohr,delta_pct,S_cap_on_endpoint,S_cap_off_endpoint,complete_on,complete_off,steps_on,steps_off
5.0,3.0,2907,20,0.476607094856101,0.47696170891596196,-0.0003546140598609804,-0.07434853851621481,0.4753914263967818,0.47574150986492897,True,True,2907,2907
6.0,3.0,2907,20,0.45411214456747073,0.4543327972877378,-0.00022065272026705607,-0.04856632001570259,0.4528988616901552,0.453115257992722,True,True,2907,2907
