kpoint_index,state_index,eigenvalue_ev_old,eigenvalue_ev_new,delta_ev
0,0,-47.220427558720644,-47.186367080536535,0.0340604781841094
0,1,-47.21664511308923,-47.1847789894553,0.03186612363392527
0,2,-47.216517175411134,-47.18684831232655,0.02966886308458072
0,3,-47.21743507134222,-47.181961333568744,0.035473737773479286
0,4,-47.21391438333359,-47.18937571819352,0.024538665140070748
0,5,-47.2137959938999,-47.1926015344154,0.02119445948449794
0,6,-47.21474364623669,-47.19406745433198,0.020676191904712482
0,7,-47.21194500409049,-47.193623240338745,0.018321763751742992
0,8,-47.210777326309895,-47.20013850717307,0.01063881913682252
0,9,-47.21071577796352,-47.209699409938096,0.0010163680254251517
0,10,-47.21158360752871,-47.202153827812104,0.009429779716604969
0,11,-47.209202709552834,-47.21229094460011,-0.0030882350472793973
0,12,-47.20928564953975,-47.20310383703154,0.006181812508209816
0,13,-47.20929958453364,-47.20606517973321,0.003234404800430468
0,14,-47.2101061241145,-47.203513116607105,0.0065930075073978855
0,15,-47.210217692958985,-47.20358232469068,0.006635368268305797
0,16,-47.210319396146396,-47.201802846839165,0.008516549307231003
0,17,-47.20853857936652,-47.20804044602203,0.000498133344486007
0,18,-47.208376337995844,-47.2022458112246,0.006130526771244149
0,19,-47.20911823993825,-47.20885112556252,0.0002671143757311256
0,20,-47.207723515898095,-47.20408806440022,0.0036354514978782504
0,21,-47.20755470490776,-47.20631573865148,0.0012389662562739545
0,22,-47.20836326786824,-47.206388585517,0.001974682351246315
0,23,-47.20694517058502,-47.20944117109859,-0.0024960005135667984
0,24,-47.20680957525793,-47.19979443519179,0.007015140066137349
0,25,-47.207628543152374,-47.20605613626873,0.001572406883646238
0,26,-47.20601157025599,-47.20203138058793,0.0039801896680558
0,27,-47.20616534087368,-47.21244955884837,-0.006284217974688033
0,28,-47.20596601981529,-47.20990120279581,-0.003935182980519869
0,29,-47.205819485381134,-47.209178983664614,-0.0033594982834799225
0,30,-47.205537572533544,-47.2157573154567,-0.010219742923155195
0,31,-47.20690938922683,-47.211399992688996,-0.004490603462166121
0,32,-47.2058093832212,-47.217798271900534,-0.011988888679333343
0,33,-47.20617193513409,-47.20683019529785,-0.0006582601637603602
0,34,-47.205247019157056,-47.21914511079815,-0.013898091641095789
0,35,-47.20500761495937,-47.21459606981951,-0.009588454860136153
0,36,-47.20510377070596,-47.21529526956259,-0.010191498856627845
0,37,-47.20517653576044,-47.218596462643866,-0.013419926883429412
0,38,-47.20525802193415,-47.22110623173302,-0.01584820979886814
0,39,-47.20569109932742,-47.217640501338586,-0.011949402011168786
0,40,-47.206026738079146,-47.21839219349312,-0.0123654554139776
0,41,-47.205404088136,-47.21791841459513,-0.012514326459132974
0,42,-47.2060474692656,-47.2186202189585,-0.012572749692900231
0,43,-47.20570590608188,-47.218690955499646,-0.012985049417764571
0,44,-47.205962093346955,-47.216704552821206,-0.01074245947425112
0,45,-47.20607066841295,-47.21757101772612,-0.011500349313173786
0,46,-47.20327968001363,-47.21985065424845,-0.016570974234817015
0,47,-47.20190268825483,-47.21953168619903,-0.017628997944200364
0,48,-47.20174425436745,-47.21696408253759,-0.015219828170138783
0,49,-47.20268061563584,-47.22123563016785,-0.018555014532005032
0,50,-47.2001374938567,-47.215584769120994,-0.015447275264293125
0,51,-47.19997967147584,-47.21565008873557,-0.015670417259734393
0,52,-47.201003016214976,-47.2147637623865,-0.013760746171520566
0,53,-47.19777603127603,-47.212206044706576,-0.014430013430548172
0,54,-3.9760663201890214,-3.9759604676259737,0.00010585256304773694
0,55,-3.459564549734741,-3.4544817211110814,0.005082828623659719
0,56,-3.459744489991473,-3.4595357734723082,0.0002087165191646534
0,57,-3.460280974578526,-3.465256259510831,-0.004975284932305257
0,58,-2.9474149275175394,-2.9421917249796308,0.005223202537908644
0,59,-2.9476095774921665,-2.947295058567941,0.00031451892422529326
0,60,-2.948135607603183,-2.9534107769744162,-0.005275169371233179
0,61,-2.4319524523556666,-2.431896451337434,5.60010182324433e-05
0,62,-2.4171653224420595,-2.4118235985075542,0.005341723934505271
0,63,-2.417368931643833,-2.417106491275172,0.0002624403686608545
0,64,-2.417891310139901,-2.4232886057636156,-0.005397295623714715
0,65,-1.9252888323411468,-1.9285098323995198,-0.0032210000583730025
0,66,-1.9250121349180542,-1.9205751422384734,0.0044369926795808645
0,67,-1.925226315962672,-1.918860464726679,0.006365851235992981
0,68,-1.9256632649413905,-1.931999473602806,-0.006336208661415599
0,69,-1.926016015874193,-1.9303746339300172,-0.004358618055824159
0,70,-1.925700692978045,-1.9220221741679213,0.003678518810123599
0,71,-1.4096503397826996,-1.4133173354924065,-0.003666995709706855
0,72,-1.4094825379712557,-1.4093919579041,9.058006715556566e-05
0,73,-1.4098154893841501,-1.4059366811117233,0.0038788082724268147
0,74,-1.0136942202099268,-1.0080153155240024,0.0056789046859244685
0,75,-1.0139289825981863,-1.0135372052501306,0.00039177734805573294
0,76,-1.0143954246892402,-1.0203034361316266,-0.005908011442386396
0,77,-0.8354607795137523,-0.8388911435586189,-0.0034303640448666295
0,78,-0.8352676528691322,-0.8352503529753993,1.7299893732891647e-05
0,79,-0.8356227825261894,-0.8319567414015449,0.0036660411246445257
0,80,-0.44353420284588346,-0.44555324035900506,-0.002019037513121602
0,81,-0.4432678124019931,-0.44260379938864386,0.0006640130133492295
0,82,-0.443686350347919,-0.4406852420288103,0.0030011083191086585
0,83,-0.42631996205697836,-0.42834621495843217,-0.0020262529014538067
0,84,-0.42614963531392713,-0.4213468086757871,0.004802826638140023
0,85,-0.42632075312785767,-0.4205389130079796,0.00578184011987809
0,86,-0.42676082961234857,-0.43317550334982824,-0.00641467373747967
0,87,-0.4270277797429837,-0.43176709498306065,-0.0047393152400769245
0,88,-0.4268033096574788,-0.4251325000822908,0.0016708095751880037
0,89,-0.1683146054582142,-0.16848853380411652,-0.00017392834590232442
0,90,-0.16867473669143784,0.0836285421183784,0.25230327880981623
0,91,-0.1281622446872946,0.07792517282731021,0.2060874175146048
0,92,0.07770262030929875,0.07092723255298096,-0.006775387756317794
0,93,0.07709871714140376,0.18140516280021923,0.10430644565881547
0,94,0.49972607665761193,0.4966112901758546,-0.0031147864817573367
0,95,0.49929760666793005,0.6217285132942063,0.12243090662627626
0,96,0.6223329775115951,1.1485035427519998,0.5261705652404047
0,97,1.1462971677644234,1.150210971685604,0.00391380392118057
0,98,1.1758206546848002,1.1999256325069994,0.024104977822199114
0,99,1.2762828743711754,1.3755591872011625,0.09927631282998717
0,100,1.6610077860029653,1.772572873688143,0.1115650876851777
1,0,-47.22039221437296,-47.18658820543871,0.033804008934247065
1,1,-47.21682349101576,-47.18429483414387,0.03252865687188944
1,2,-47.21651692458121,-47.18676797368857,0.02974895089263896
1,3,-47.21714559159452,-47.182113266062196,0.03503232553232749
1,4,-47.21412180410654,-47.188402670264516,0.025719133842024178
1,5,-47.213817399829956,-47.19538914298504,0.01842825684491345
1,6,-47.21445453079285,-47.19427534274648,0.0201791880463702
1,7,-47.2120225904105,-47.191936666497654,0.020085923912844805
1,8,-47.2109576113935,-47.19954896217168,0.01140864922182061
