z_c,F_INQ_x,F_INQ_y,F_INQ_z,F_ours_x,F_ours_y,F_ours_z,ratio_z
3,-2.42117806945e-10,9.12755069389e-10,0.208211197539,-2.41631764101e-10,9.1087596773e-10,0.206111540453,0.989915734072
3.5,7.51491089197e-11,-3.76177162135e-11,0.15620812514,7.54117076324e-11,-3.76869490075e-11,0.158222079471,1.01289276296
4,-8.85807738269e-12,-3.53031828697e-12,0.121559817039,-8.84389694414e-12,-3.50571135018e-12,0.120048866768,0.987570314701
5,-1.28041149754e-12,3.37066962549e-11,0.0788445235704,-1.24208163596e-12,3.3645462159e-11,0.0776937885666,0.985405010371
