z_c,F_INQ_x,F_INQ_y,F_INQ_z,F_ours_x,F_ours_y,F_ours_z,ratio_z
3,-9.78945623508e-10,4.88359336031e-10,0.208561846337,-9.78901435218e-10,4.88351182576e-10,0.208534579641,0.999869263264
3.5,2.17244573247e-09,-7.16817813129e-10,0.156773871799,2.17247189655e-09,-7.16849599559e-10,0.156884661103,1.0007066822
4,1.41482067039e-11,4.93907552194e-10,0.121657473197,1.41650409204e-11,4.93799186811e-10,0.121571088172,0.999289932439
5,-8.68826289575e-11,-4.28027628612e-11,0.0788995389324,-8.68983764556e-11,-4.2807368494e-11,0.0789458283812,1.00058668846
