# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  evaluate_functional                               	          44104	     41.93	     23.66
  allocate                                          	        2706843	     11.97	     11.97
  update_hamiltonian                                	          22052	     72.49	      8.52
  fft_forward_3d                                    	         264709	      8.44	      8.44
  fft_backward_3d                                   	         253658	      7.86	      7.86
  divergence                                        	          88208	     16.15	      7.77
  spherical_grid::reextent                          	         132021	      8.03	      7.52
  projector::build                                  	          22004	      7.44	      7.44
  to_real                                           	         253658	     17.71	      6.68
  to_fourier                                        	         264709	     15.90	      6.22
  shift_const_factor                                	         132000	      5.75	      5.75
  laplacian                                         	          99345	      6.17	      5.74
  update_projectors                                 	          11002	     20.19	      5.61
  gradient                                          	          88108	     13.90	      5.59
  overlap_diagonal(2arg)                            	          34623	      5.10	      4.77
  calculate                                         	          11001	     42.36	      4.63
  poisson_solve_0d                                  	          66057	     19.15	      4.58
  spherical_grid::compact                           	         132021	      4.51	      4.51
  projector_force_sum                               	          11001	      4.54	      4.47
  scalar_potential_add                              	          99100	      4.35	      4.35
  constructor                                       	          11002	      4.47	      4.34
  nlcc_forces                                       	          11001	      5.03	      3.97
  compute_nvxc                                      	          22052	      3.89	      3.89
  projector_all::apply                              	          99394	      3.64	      3.64
  sum(1arg)                                         	          99307	      3.44	      3.44
  nlcc_density                                      	          11002	      4.56	      3.36
  total                                             	          77378	      3.59	      3.24
  projector::gather                                 	         132447	      3.61	      3.02
  projector_gemm_1                                  	         121446	      3.02	      3.02
  occ_sum                                           	          22102	      2.76	      2.76
  density::calculate                                	          22051	      3.08	      2.74
  fill(field_set)                                   	         264281	      2.73	      2.73
  poisson(real)                                     	          66057	     22.34	      2.61
  enlarge                                           	         132114	      6.78	      2.58
  spherical_grid::initialize                        	         132021	     15.05	      2.45
  hamiltonian_real                                  	          99100	     40.34	      2.24
  laplacian_expectation_value                       	          11051	      2.19	      2.14
  fft_normalize                                     	         187601	      1.96	      1.96
  projector_gemm_2                                  	         110395	      1.82	      1.82
  poisson_apply_kernel                              	          66057	      1.77	      1.77
  time_step                                         	          11000	    219.11	      1.67
  etrs                                              	          11000	    157.14	      1.61
  multiply_by_coefficients                          	         110395	      2.05	      1.60
  exponential_2_for_1                               	          11000	     22.58	      1.53
  shrink                                            	          66057	      2.28	      1.34
  forces_local                                      	          11001	     15.78	      1.14
  exponential_in_place                              	          11000	     21.63	      1.06
  ionic_density                                     	          33004	      7.38	      0.97
  integral_product                                  	          88208	      4.36	      0.97
  atomic_potential::local_potential                 	          33004	      6.28	      0.97
  energy::calculate                                 	          11051	     17.75	      0.53
  non_local_energy                                  	          11051	      1.06	      0.50
  shift                                             	          11296	      0.48	      0.48
  inq_environment                                   	              1	    221.74	      0.43
  update_ionic_fields                               	          11003	     15.24	      0.41
  deallocate                                        	        3151711	      0.39	      0.39
  etrs:restore                                      	          11000	      0.30	      0.30
  energy::calculate::eigenvalues                    	          11051	      7.74	      0.28
  density::calculate_gradient                       	          11001	      0.25	      0.25
  force_stress                                      	          11001	      5.99	      0.18
  integral_sum_absdiff                              	          11049	      0.59	      0.13
  to_real_array                                     	         253658	      9.94	      0.11
  overlap(2arg)                                     	             99	      0.10	      0.10
  to_fourier_array                                  	         264709	      8.53	      0.09
  allocate_with_hint                                	         444868	      0.08	      0.08
  diagonalize_raw                                   	             49	      0.07	      0.07
  cuda_zpotrf                                       	             50	      0.06	      0.06
  scf_iteration                                     	             49	      1.30	      0.06
  pseudopod::filter                                 	             10	      0.06	      0.06
  matrix::scatter                                   	            149	      0.06	      0.06
  steepest_descent                                  	             49	      0.60	      0.06
  kinetic_expectation_value                         	          22102	      5.21	      0.05
  matrix::gather                                    	            248	      0.04	      0.04
  orthogonalize                                     	             50	      0.25	      0.04
  overlap_diagonal_normalized                       	            245	      0.04	      0.03
  poisson(complex)                                  	          66057	     19.18	      0.03
  broyden_extrapolation                             	             49	      0.03	      0.03
  periodic_replicas                                 	         132021	      0.03	      0.03
  scalar_potential                                  	            294	      0.02	      0.02
  subspace_diagonalization                          	             49	      0.23	      0.02
  preconditioner_apply                              	            245	      0.01	      0.01
  laplacian_add                                     	            294	      0.01	      0.01
  operations::rotate_trs                            	             50	      0.03	      0.01
  pseudopod::pseudopotential                        	              2	      0.08	      0.01
  broyden_mixing                                    	             49	      0.04	      0.01
  operations::rotate(2arg)                          	             99	      0.04	      0.01
  hamiltonian_fourier                               	            294	      0.14	      0.01
  interaction_forces                                	          11001	      0.01	      0.01
  mgga_term                                         	          99394	      0.01	      0.01
  interaction_energy                                	          11002	      0.01	      0.01
  least_squares                                     	             48	      0.01	      0.01
  overlap_diagonal(1arg)                            	          11296	      1.07	      0.00
  etrs:save                                         	          11000	      0.00	      0.00
  propagate                                         	              1	    219.13	      0.00
  electrons                                         	              1	      0.00	      0.00
  normalize                                         	             50	      0.01	      0.00
  integral_partial_sum                              	             50	      0.01	      0.00
  state_convergence                                 	             49	      0.00	      0.00
  preconditioner_reduction                          	            245	      0.06	      0.00
  operator()                                        	              1	      1.76	      0.00
  atomic_electronic_density                         	              1	      0.00	      0.00
  initial_guess                                     	              1	      0.12	      0.00
  mixing                                            	             49	      0.27	      0.00
  dipole                                            	              1	      0.00	      0.00
  overlap(1arg)                                     	             50	      0.10	      0.00
  reduce_nrm2                                       	             48	      0.00	      0.00
  atomic_potential                                  	              1	      0.08	      0.00
  kpoint_index                                      	             51	      0.00	      0.00
