sigma_WP,v,S_B_Eabs,S_B0,S_A,zf,vf
17.0,2.0,0.42655757343240774,-3.4809153709460348,0.0071975684651983275,264.979654238,1.99294014723
17.0,2.5,0.4257645169684844,-3.481708427409958,0.006088850208112291,265.269011844,2.49447567223
17.0,3.0,0.42337104579684925,-3.484101898581593,0.00489323812599522,265.486026598,2.99602495264
17.0,3.5,0.4209207039114623,-3.48655224046698,0.003947279440837315,265.611475737,3.49717989481
20.0,2.0,0.41799875986699886,-3.3338098124889255,0.003690877576612821,265.39510969,1.99632237189
20.0,2.5,0.4183442558678335,-3.3334643164880915,0.0031754046071197414,265.501584216,2.49686574439
20.0,3.5,0.41619947938921903,-3.3356090929667057,0.00208417204925592,265.684102644,3.49824504867
