v,v_final,z_final,n_steps,norm_final,S_A_keloss,S_B_Eabs,E_absorbed_eV
2.0,1.50429795695,201.897957564,3623,99.6776851342,0.7627355017497576,1.2993818298549795,32.484545746374486
2.5,2.2584992499,240.757322615,2898,99.8498892119,0.5145606820140164,0.9778782322234325,24.446955805585812
3.0,2.86426925776,254.062066416,2415,99.9402220919,0.3598394271995046,0.8095067124939015,20.23766781234754
3.5,3.41626781026,259.596780205,2070,99.9751236807,0.26380712298370107,0.7069710395711479,17.674275989278698
4.0,3.94476365014,262.341932342,1812,99.9901279531,0.20259415849657222,0.6398869922809566,15.997174807023915
4.5,4.46166241351,263.596936159,1610,99.9961000195,0.15891354659804105,0.5937013314085255,14.842533285213138
