sigma_WP,v,v_final,z_final,n_steps,norm_final,S_A_keloss,S_B_Eabs,E_absorbed_eV
2.0,2.0,1.75409505396,234.215263054,3623,99.7646364527,0.3785472900792325,0.9575268455724555,23.938171139311386
2.0,2.5,2.37334768591,252.779695643,2898,99.896255127,0.25372243961244434,0.767819594675821,19.195489866895525
2.0,3.0,2.92610326305,259.481773449,2415,99.9625347385,0.18089655400252,0.6620316954064626,16.550792385161564
2.0,3.5,3.45331992834,262.386829101,2070,99.9858665923,0.13519271570072378,0.5962435313638931,14.906088284097326
3.0,2.0,1.81931227948,242.688488363,3623,99.7876705228,0.270405539026557,0.8216963037611761,20.542407594029402
3.0,2.5,2.40294108592,255.873363785,2898,99.9068300955,0.18587020090338124,0.687527846180907,17.188196154522675
3.0,3.0,2.94241806214,260.906562976,2415,99.9668057493,0.13481257416214226,0.6082077561330912,15.205193903327281
3.0,3.5,3.46335566672,263.138977027,2070,99.9875420225,0.10139103289326147,0.557503717129372,13.937592928234299
