v,v_final,z_final,n_steps,S_A_keloss,S_B_Eabs,E_absorbed_eV
2.0,1.50280085489,165.462262651,3019,0.7627356853830747,1.6051017326606698,40.12754331651674
2.5,2.25822685946,197.109631179,2415,0.5145607184881579,1.1818330452841717,29.545826132104292
3.0,2.86422110744,208.001818893,2013,0.3598394346445405,0.9611538874122201,24.0288471853055
3.5,3.41624211539,212.451634198,1725,0.2638071236585435,0.8324132450173201,20.810331125433002
4.0,3.94474898481,214.689064113,1510,0.2025941593455656,0.7508853354652891,18.772133386632227
4.5,4.46166105888,215.946334631,1343,0.15891354648919548,0.6961229331170824,17.40307332792706
