step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.143753069823,-12.3099138808,431.830598261,12.3099140704,-214.717785708,-229.242299129,444.140512331,1,101
1,0.04,-217.076138133,0.143741137086,-12.2483665184,431.830598079,12.248364137,-214.717785708,-229.180763515,444.078962216,0.999999951147,100.999999948
2,0.08,-217.076138147,0.143705382118,-12.1868235231,431.830598096,12.1868142355,-214.717785708,-229.119256288,444.017412332,0.99999990505,100.999999899
3,0.12,-217.076138361,0.143645847438,-12.12528489,431.830598317,12.1252643492,-214.717785708,-229.057777403,443.955862666,0.999999860784,100.999999853
4,0.16,-217.076138777,0.143562603834,-12.0637506195,431.830598744,12.0637144662,-214.717785708,-228.996326793,443.89431321,0.999999817726,100.999999807
5,0.2,-217.076139398,0.143455750078,-12.002220716,431.830599383,12.0021645778,-214.717785708,-228.934904364,443.832763961,0.999999775461,100.999999762
6,0.24,-217.076140225,0.143325412522,-11.9406951868,431.83060024,11.9406146772,-214.717785708,-228.873509999,443.771214917,0.999999733716,100.999999718
7,0.28,-217.076141262,0.143171744594,-11.8791740415,431.83060132,11.8790647588,-214.717785708,-228.812143558,443.709666079,0.999999692309,100.999999674
8,0.32,-217.07614251,0.142994926195,-11.8176572914,431.830602633,11.8175148177,-214.717785708,-228.750804875,443.648117451,0.99999965112,100.999999631
9,0.36,-217.076143974,0.142795162999,-11.7561449495,431.830604188,11.7559648493,-214.717785708,-228.68949376,443.586569037,0.999999610072,100.999999587
10,0.4,-217.076145656,0.142572685665,-11.6946370303,431.830605994,11.6944148492,-214.717785708,-228.628210001,443.525020843,0.999999569114,100.999999544
11,0.44,-217.076147561,0.142327748972,-11.6331335497,431.830608063,11.6328648129,-214.717785708,-228.566953362,443.463472876,0.999999528214,100.999999501
12,0.48,-217.076149693,0.142060630875,-11.5716345253,431.830610407,11.5713147355,-214.717785708,-228.505723587,443.401925143,0.99999948735,100.999999458
13,0.52,-217.076152057,0.141771631503,-11.510139976,431.830613042,11.5097646118,-214.717785708,-228.444520401,443.340377653,0.999999446509,100.999999416
14,0.56,-217.076154657,0.141461072094,-11.4486499226,431.83061598,11.4482144363,-214.717785708,-228.383343507,443.278830417,0.999999405682,100.999999373
15,0.6,-217.0761575,0.141129293888,-11.3871643878,431.83061924,11.3866642029,-214.717785708,-228.322192594,443.217283443,0.999999364863,100.99999933
16,0.64,-217.076160592,0.140776656972,-11.3256833964,431.830622839,11.3251139047,-214.717785708,-228.261067332,443.155736743,0.999999324049,100.999999288
17,0.68,-217.076163941,0.140403539102,-11.2642069753,431.830626795,11.2635635343,-214.717785708,-228.199967377,443.09419033,0.999999283238,100.999999245
18,0.72,-217.076167554,0.140010334496,-11.2027351543,431.830631131,11.2020130837,-214.717785708,-228.138892373,443.032644215,0.999999242428,100.999999202
19,0.76,-217.076171439,0.139597452608,-11.1412679657,431.830635869,11.1404625438,-214.717785708,-228.077841952,442.971098413,0.999999201619,100.99999916
20,0.8,-217.076175608,0.139165316898,-11.0798054452,431.830641032,11.0789119048,-214.717785708,-228.016815736,442.909552937,0.999999160809,100.999999117
21,0.84,-217.076180069,0.138714363597,-11.018347632,431.830646646,11.0173611557,-214.717785708,-227.955813337,442.848007802,0.999999119999,100.999999075
22,0.88,-217.076184835,0.138245040473,-10.9568945692,431.83065274,10.9558102845,-214.717785708,-227.894834364,442.786463025,0.999999079188,100.999999033
23,0.92,-217.076189919,0.137757805612,-10.8954463043,431.830659343,10.894259278,-214.717785708,-227.833878418,442.724918621,0.999999038376,100.99999899
24,0.96,-217.076195335,0.137253126206,-10.8340028896,431.830666487,10.8327081217,-214.717785708,-227.772945099,442.663374608,0.999998997563,100.999998948
25,1,-217.076201099,0.136731477369,-10.7725643831,431.830674205,10.7711567995,-214.717785708,-227.712034005,442.601831004,0.99999895675,100.999998906
26,1.04,-217.076207227,0.136193340969,-10.7111308488,431.830682533,10.709605294,-214.717785708,-227.651144735,442.540287827,0.999998915936,100.999998863
27,1.08,-217.07621374,0.13563920449,-10.6497023573,431.830691512,10.6480535857,-214.717785708,-227.590276893,442.478745098,0.999998875122,100.999998821
28,1.12,-217.076220657,0.13506955993,-10.5882789871,431.830701181,10.5865016535,-214.717785708,-227.529430084,442.417202835,0.999998834307,100.999998779
29,1.16,-217.076228001,0.134484902725,-10.5268608249,431.830711586,10.5249494741,-214.717785708,-227.468603923,442.35566106,0.999998793492,100.999998737
30,1.2,-217.076235798,0.13388573071,-10.4654479672,431.830722772,10.4633970222,-214.717785708,-227.407798035,442.294119794,0.999998752676,100.999998694
31,1.24,-217.076244076,0.133272543127,-10.4040405207,431.830734791,10.4018442697,-214.717785708,-227.347012053,442.232579061,0.99999871186,100.999998652
32,1.28,-217.076252864,0.132645839662,-10.342638604,431.830747697,10.3402911863,-214.717785708,-227.286245628,442.171038883,0.999998671045,100.99999861
