sigma,r,Lz,per,Ekin_WP,EH_WP,Exc_WP,Eext_WP,Ekin_pert,EH_pert,Exc_pert,Eext_pert,dEH_Eext,U_proj_bg,residual,dKin,dXC,SIE
0.5,12,90,2,156.2127832039633,-2275.1294985691047,-246.69868630673687,4091.725774962327,74.4743894594121,-2156.9195512227043,-230.23047688681578,3818.021456369396,155.49437124653014,134.68874479170836,20.805626454821777,81.73839374455122,-16.468209419921095,4.337417034900682
0.5,12,120,2,156.70739540541928,-2314.0061026647786,-247.3428222388136,4128.646724796861,74.96901490137908,-2194.98714460526,-230.8746151340078,3854.1331411045367,155.49462563280576,134.6887447767421,20.805880856063652,81.7383805040402,-16.4682071048058,4.337673751257853
0.5,12,160,2,156.39678977179742,-2571.191648700512,-246.7127267578916,4381.06430345461,74.65841252211298,-2449.520586171499,-230.24452000751086,4103.8977917090915,155.49544921650568,134.68874477021137,20.806704446294304,81.73837724968443,-16.468206750380745,4.33849769591356
0.5,12,240,2,156.32187354276758,-2959.2246321544835,-246.46154112455633,4760.932485034512,74.58350008261588,-2833.1088864947883,-229.99333497584192,4479.319909850653,155.4968295241638,134.68874476612967,20.808084758034113,81.73837346015169,-16.468206148714415,4.3398786093196975
