sigma,r,Lz,per,Ekin_WP,EH_WP,Exc_WP,Eext_WP,Ekin_pert,EH_pert,Exc_pert,Eext_pert,dEH_Eext,U_proj_bg,residual,dKin,dXC,SIE
0.5,12,120,2,156.70739540541928,-2314.0061026647786,-247.3428222388136,4128.646724796861,74.96901490137908,-2194.98714460526,-230.8746151340078,3854.1331411045367,155.49462563280576,134.6887447767421,20.805880856063652,81.7383805040402,-16.4682071048058,4.337673751257853
0.5,12,120,3,157.197770576194,2896.3033502650514,-249.21496548601183,-5670.622143883771,75.45934572117267,2869.5025380775287,-232.74675363876676,-5660.25293708513,16.431605388881508,-5.056543194428435,21.488148583309943,81.73842485502132,-16.468211847245072,5.019936736064871
