sigma,r,Lz,per,Ekin_WP,EH_WP,Exc_WP,Eext_WP,Ekin_pert,EH_pert,Exc_pert,Eext_pert,dEH_Eext,U_proj_bg,residual,dKin,dXC,SIE
0.35,12,120,2,252.7849730264736,-2300.1781292121377,-255.91777012233578,4128.6467335364505,74.96901490137908,-2194.98714460526,-230.8746151340078,3847.410831991133,176.04491693843966,141.1621918578165,34.882725080623146,177.81595812509454,-25.043154988327984,9.839570092295162
0.5,12,120,2,156.70739540541928,-2314.0061026647786,-247.3428222388136,4128.646724796861,74.96901490137908,-2194.98714460526,-230.8746151340078,3854.1331411045367,155.49462563280576,134.6887447767421,20.805880856063652,81.7383805040402,-16.4682071048058,4.337673751257853
0.7,12,120,2,116.6191283945363,-2320.362992359779,-242.88513387294043,4128.646699448421,74.96901490137908,-2194.98714460526,-230.8746151340078,3854.1765340966017,149.09431759729978,134.64695775714,14.447359840159777,41.65011349315722,-12.010518738932632,2.436841101227145
1.0,12,120,2,95.37759497452625,-2325.0158342641657,-239.5284485373087,4128.64661740669,74.96901490137908,-2194.98714460526,-230.8746151340078,3854.176535634916,144.44139211286802,134.6469545807549,9.794437532113108,20.408580073147164,-8.653833403300894,1.140604128812214
