# wp_state_index=73  write_every=1
step,time_au,x_mean,y_mean,z_mean,x2_mean,y2_mean,z2_mean,sigma_x2,sigma_y2,sigma_z2,norm_check,x_mean_circ,y_mean_circ,z_mean_circ,R_x,R_y,R_z,sigma_x_circ,sigma_y_circ,sigma_z_circ
0,0,-3.31795962927e-09,4.13982676525e-09,-23.9999999426,2.0000002351,2.00000022088,577.999998799,2.0000002351,2.00000022088,2.00000155363,1,-2.53210108362e-09,1.46434986518e-09,-23.9999999739,0.968286482999,0.968286483019,0.994550757616,1.4142136129,1.41421361244,1.41421392714
1,0.04,-3.32881388559e-09,3.89155451982e-09,-23.8999999612,2.00022474481,2.00022473076,573.210224935,2.00022474481,2.00022473076,2.00022678918,0.999999985011,-2.54465857537e-09,1.21423340971e-09,-23.8999999948,0.968282973499,0.968282973517,0.994550145386,1.41429313562,1.41429313522,1.41429358682
2,0.08,-3.4132609346e-09,3.09430381336e-09,-23.799999962,2.00089827194,2.00089825829,568.440901533,2.00089827194,2.00089825829,2.00090334374,0.99999997247,-2.63080843526e-09,4.12942556236e-10,-23.7999999984,0.968272445108,0.968272445119,0.994548306469,1.41453167627,1.41453167602,1.41453282897
3,0.12,-3.57640768221e-09,1.73092827007e-09,-23.6999999375,2.00202082614,2.00202081313,563.692028252,2.00202082614,2.00202081313,2.00203121583,0.999999961668,-2.79566163633e-09,-9.56769263544e-10,-23.6999999775,0.968254897898,0.9682548979,0.994545240875,1.41492915792,1.41492915789,1.41493157222
4,0.16,-3.82354508052e-09,-2.16204233284e-10,-23.5999998814,2.00359242171,2.00359240956,558.963604818,2.00359242171,2.00359240956,2.00361041842,0.999999952097,-3.0445138712e-09,-2.91264138226e-09,-23.5999999259,0.968230332023,0.968230332011,0.994540948579,1.41548545187,1.41548545215,1.41548968643
5,0.2,-4.16015406802e-09,-2.76522420366e-09,-23.4999997878,2.00561307756,2.00561306652,554.255631004,2.00561307756,2.00561306652,2.00564097716,0.999999943395,-3.38285098808e-09,-5.47291807646e-09,-23.4999998381,0.968198747711,0.968198747682,0.994535429527,1.41620037789,1.41620037855,1.41620699231
6,0.24,-4.59191117639e-09,-5.9347722428e-09,-23.3999996514,2.00808281727,2.00808280759,549.568106616,2.00808281727,2.00808280759,2.0081229291,0.999999935304,-3.81635549089e-09,-8.65636153989e-09,-23.3999997087,0.968160145269,0.968160145218,0.994528683639,1.41707370448,1.41707370562,1.41708326122
7,0.28,-5.12469524759e-09,-9.74401125919e-09,-23.2999994669,2.01100166902,2.01100166096,544.901031479,2.01100166902,2.01100166096,2.0110563217,0.999999927644,-4.35091267739e-09,-1.24822639558e-08,-23.2999995327,0.968114525079,0.968114525003,0.99452071081,1.41810514931,1.41810515103,1.41811821525
8,0.32,-5.7645938455e-09,-1.42126386174e-08,-23.1999992289,2.01436966566,2.01436965948,540.254405433,2.01436966566,2.01436965948,2.01444121223,0.999999920284,-4.99261709503e-09,-1.69704604769e-08,-23.1999993048,0.968061887603,0.968061887497,0.994511510913,1.41929437967,1.41929438205,1.4193115275
9,0.36,-6.5179089875e-09,-1.93608982362e-08,-23.0999989319,2.01818684461,2.0181868406,535.628228323,2.01818684461,2.0181868406,2.0182776673,0.999999913135,-5.74777880626e-09,-2.21413416576e-08,-23.0999990198,0.968002233378,0.968002233239,0.994501083803,1.42064101297,1.42064101611,1.42066282236
