name,mode,E_eV,k0,L_total,Lhalf,eta_Ha,epsilon,absorbed_fraction,z_in,Lcell_z,tau,N_STEPS,dx,sigma
run_cap_E32_L20_eta0.50,cap,32.0,1.53361,20.0,10.0,-0.5,0.00114521,0.998562,22.1315,64.2631,54.9443,5494.0,0.3,3.68859
run_cap_E32_L20_eta0.70,cap,32.0,1.53361,20.0,10.0,-0.7,0.000154054,0.999813,22.1315,64.2631,54.9443,5494.0,0.3,3.68859
run_cap_E32_L20_eta1.00,cap,32.0,1.53361,20.0,10.0,-1.0,0.000180647,0.99981,22.1315,64.2631,54.9443,5494.0,0.3,3.68859
run_cap_E32_L26_eta0.50,cap,32.0,1.53361,26.0,13.0,-0.5,8.77827e-05,0.999862,22.1315,70.2631,62.769,6277.0,0.3,3.68859
run_cap_E32_L30_eta0.50,cap,32.0,1.53361,30.0,15.0,-0.5,1.39602e-05,0.999974,22.1315,74.2631,67.9854,6799.0,0.3,3.68859
run_cap_E4_L10_eta0.50,cap,4.0,0.542213,10.0,5.0,-0.5,0.159409,0.840427,62.5974,135.195,267.782,26778.0,0.3,10.4329
run_cap_E4_L16_eta0.50,cap,4.0,0.542213,16.0,8.0,-0.5,0.0926635,0.907215,62.5974,141.195,289.913,28991.0,0.3,10.4329
run_cap_E4_L20_eta0.50,cap,4.0,0.542213,20.0,10.0,-0.5,0.0699509,0.929914,62.5974,145.195,304.668,30467.0,0.3,10.4329
run_cap_E4_L26_eta0.50,cap,4.0,0.542213,26.0,13.0,-0.5,0.045654,0.954087,62.5974,151.195,326.799,32680.0,0.3,10.4329
run_cap_E4_L30_eta0.50,cap,4.0,0.542213,30.0,15.0,-0.5,0.0342926,0.965336,62.5974,155.195,341.554,34155.0,0.3,10.4329
run_cap_E64_L10_eta0.50,cap,64.0,2.16885,10.0,5.0,-0.5,0.0932484,0.901353,15.6494,41.2987,23.6525,2365.0,0.3,2.60823
run_cap_E64_L16_eta0.50,cap,64.0,2.16885,16.0,8.0,-0.5,0.0150645,0.979388,15.6494,47.2987,29.1854,2919.0,0.3,2.60823
run_cap_E64_L20_eta0.50,cap,64.0,2.16885,20.0,10.0,-0.5,0.00364352,0.993855,15.6494,51.2987,32.874,3287.0,0.3,2.60823
run_cap_E64_L26_eta0.50,cap,64.0,2.16885,26.0,13.0,-0.5,0.000332552,0.999202,15.6494,57.2987,38.4068,3841.0,0.3,2.60823
run_cap_E64_L30_eta0.50,cap,64.0,2.16885,30.0,15.0,-0.5,6.06187e-05,0.999817,15.6494,61.2987,42.0954,4210.0,0.3,2.60823
run_mask_E1000_L10,mask,1000.0,8.57314,10.0,5.0,0.0,2.97482e-08,1.0,3.95901,17.918,3.25645,326.0,0.18,0.659835
run_mask_E1000_L16,mask,1000.0,8.57314,16.0,8.0,0.0,5.52963e-10,1.0,3.95901,23.918,4.65618,466.0,0.18,0.659835
run_mask_E1000_L20,mask,1000.0,8.57314,20.0,10.0,0.0,9.03155e-11,1.0,3.95901,27.918,5.58932,559.0,0.18,0.659835
run_mask_E1000_L26,mask,1000.0,8.57314,26.0,13.0,0.0,1.30307e-11,1.0,3.95901,33.918,6.98904,699.0,0.18,0.659835
run_mask_E1000_L30,mask,1000.0,8.57314,30.0,15.0,0.0,4.70273e-12,1.0,3.95901,37.918,7.92219,792.0,0.18,0.659835
