step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.0772626862792,-12.3099171723,431.830598261,12.3099139523,-214.717785708,-229.308792804,444.140512213,1,101
1,0.04,-217.076138165,0.0772609712997,-12.2687648201,431.83059811,12.2687589158,-214.717785708,-229.267642014,444.099357026,0.999992463481,100.999992461
2,0.08,-217.076138275,0.0772559388892,-12.2276341764,431.830598224,12.2276212544,-214.717785708,-229.226516512,444.058219479,0.999985982263,100.999985977
3,0.12,-217.076138654,0.0772475874715,-12.1865229231,431.83059861,12.1864986424,-214.717785708,-229.185413989,444.017097252,0.999980416969,100.999980409
4,0.16,-217.076139306,0.0772359167832,-12.1454290304,431.830599273,12.1453890422,-214.717785708,-229.144332419,443.975988315,0.999975645376,100.999975635
5,0.2,-217.076140236,0.0772209277986,-12.1043507233,431.830600222,12.1042906707,-214.717785708,-229.103270032,443.934890893,0.999971560472,100.999971547
6,0.24,-217.076141451,0.0772026226637,-12.0632864525,431.830601467,12.0632019702,-214.717785708,-229.062225281,443.893803437,0.999968068719,100.999968053
7,0.28,-217.076142955,0.0771810046381,-12.0222348677,431.830603016,12.0221215818,-214.717785708,-229.021196818,443.852724597,0.999965088488,100.99996507
8,0.32,-217.076144756,0.0771560780438,-11.981194794,431.830604881,11.9810483217,-214.717785708,-228.980183472,443.811653203,0.999962548664,100.999962528
9,0.36,-217.076146859,0.0771278482206,-11.9401652114,431.830607075,11.9399811606,-214.717785708,-228.939184222,443.770588236,0.999960387402,100.999960365
10,0.4,-217.076149271,0.0770963214855,-11.8991452354,431.830609612,11.8989192044,-214.717785708,-228.898198185,443.729528816,0.999958551006,100.999958526
11,0.44,-217.076152,0.0770615050973,-11.8581341007,431.830612505,11.8578616777,-214.717785708,-228.857224595,443.688474183,0.999956992944,100.999956966
12,0.48,-217.076155052,0.0770234072243,-11.8171311463,431.830615772,11.8168079089,-214.717785708,-228.816262792,443.647423681,0.999955672957,100.999955644
13,0.52,-217.076158437,0.0769820369156,-11.7761358025,431.830619428,11.7757573174,-214.717785708,-228.775312203,443.606376746,0.999954556282,100.999954525
14,0.56,-217.076162163,0.0769374040743,-11.7351475789,431.830623494,11.7347094013,-214.717785708,-228.734372338,443.565332895,0.999953612949,100.99995358
15,0.6,-217.076166239,0.076889519433,-11.6941660547,431.830627987,11.6936637275,-214.717785708,-228.693442774,443.524291714,0.999952817171,100.999952783
16,0.64,-217.076170674,0.0768383945312,-11.6531908692,431.830632929,11.6526199227,-214.717785708,-228.652523148,443.483252852,0.999952146797,100.99995211
17,0.68,-217.076175478,0.0767840416942,-11.6122217143,431.830638343,11.6115776651,-214.717785708,-228.61161315,443.442216008,0.999951582834,100.999951545
18,0.72,-217.076180662,0.076726474012,-11.5712583268,431.830644251,11.5705366774,-214.717785708,-228.570712515,443.401180929,0.999951109027,100.999951069
19,0.76,-217.076186237,0.0766657053206,-11.5303004831,431.83065068,11.529496721,-214.717785708,-228.529821015,443.360147401,0.999950711486,100.99995067
20,0.8,-217.076192215,0.0766017501827,-11.4893479934,431.830657654,11.4884575901,-214.717785708,-228.488938458,443.319115244,0.999950378364,100.999950335
21,0.84,-217.076198609,0.0765346238694,-11.4484006972,431.830665202,11.4474191073,-214.717785708,-228.448064682,443.278084309,0.999950099572,100.999950055
22,0.88,-217.076205431,0.0764643423418,-11.4074584591,431.830673353,11.4063811195,-214.717785708,-228.407199548,443.237054472,0.999949866537,100.99994982
23,0.92,-217.076212695,0.0763909222333,-11.3665211655,431.830682137,11.365343494,-214.717785708,-228.366342939,443.196025631,0.999949671982,100.999949624
24,0.96,-217.076220417,0.0763143808317,-11.3255887216,431.830691587,11.3243061158,-214.717785708,-228.325494757,443.154997703,0.999949509741,100.99994946
25,1,-217.07622861,0.0762347360608,-11.2846610487,431.830701736,11.2832688847,-214.717785708,-228.284654923,443.113970621,0.9999493746,100.999949323
26,1.04,-217.076237293,0.0761520064629,-11.2437380817,431.830712619,11.2422317132,-214.717785708,-228.243823368,443.072944333,0.999949262155,100.99994921
27,1.08,-217.076246481,0.0760662111806,-11.2028197677,431.830724274,11.201194524,-214.717785708,-228.203000037,443.031918798,0.999949168691,100.999949115
28,1.12,-217.076256192,0.0759773699382,-11.1619060642,431.830736738,11.1601572488,-214.717785708,-228.162184887,442.990893987,0.999949091084,100.999949036
29,1.16,-217.076266447,0.0758855030235,-11.1209969375,431.830750051,11.1191198267,-214.717785708,-228.121377881,442.949869878,0.999949026702,100.99994897
30,1.2,-217.076277264,0.0757906312691,-11.0800923616,431.830764256,11.0780822026,-214.717785708,-228.080578994,442.908846459,0.999948973342,100.999948915
31,1.24,-217.076288664,0.0756927760336,-11.0391923177,431.830779396,11.0370443265,-214.717785708,-228.039788206,442.867823723,0.999948929151,100.99994887
32,1.28,-217.07630067,0.0755919591823,-10.9982967925,431.830795516,10.9960061524,-214.717785708,-227.999005504,442.826801669,0.999948892582,100.999948832
33,1.32,-217.076313306,0.0754882030684,-10.9574057784,431.830812664,10.9549676377,-214.717785708,-227.958230881,442.785780302,0.999948862341,100.9999488
34,1.36,-217.076326594,0.0753815305129,-10.9165192725,431.830830889,10.9139287422,-214.717785708,-227.917464336,442.744759632,0.999948837346,100.999948774
35,1.4,-217.076340562,0.0752719647857,-10.8756372762,431.830850242,10.8728894277,-214.717785708,-227.876705874,442.70373967,0.999948816696,100.999948752
36,1.44,-217.076355236,0.0751595295852,-10.834759795,431.830870776,10.8318496577,-214.717785708,-227.835955502,442.662720434,0.999948799641,100.999948734
37,1.48,-217.076370645,0.0750442490189,-10.7938868379,431.830892546,10.7908093967,-214.717785708,-227.795213234,442.621701943,0.999948785557,100.999948718
38,1.52,-217.076386819,0.0749261475828,-10.753018418,431.830915609,10.7497686102,-214.717785708,-227.754479089,442.58068422,0.999948773924,100.999948706
39,1.56,-217.076403788,0.0748052501417,-10.7121545513,431.830940026,10.708727264,-214.717785708,-227.71375309,442.53966729,0.999948764312,100.999948695
40,1.6,-217.076421587,0.0746815819088,-10.6712952575,431.830965857,10.6676853244,-214.717785708,-227.673035263,442.498651182,0.999948756365,100.999948686
41,1.64,-217.07644025,0.0745551684255,-10.6304405596,431.830993167,10.626642758,-214.717785708,-227.632325641,442.457635925,0.999948749788,100.999948678
42,1.68,-217.076459812,0.0744260355407,-10.5895904839,431.831022022,10.5855995312,-214.717785708,-227.591624261,442.416621554,0.999948744335,100.999948671
43,1.72,-217.076480314,0.074294209391,-10.5487450603,431.831052492,10.5445556105,-214.717785708,-227.550931165,442.375608102,0.999948739806,100.999948666
44,1.76,-217.076501794,0.0741597163799,-10.5079043223,431.831084647,10.5035109625,-214.717785708,-227.510246399,442.334595609,0.999948736034,100.999948661
45,1.8,-217.076524294,0.074022583158,-10.4670683069,431.831118561,10.4624655533,-214.717785708,-227.469570018,442.293584115,0.999948732882,100.999948657
46,1.84,-217.07654786,0.0738828366022,-10.4262370553,431.831154312,10.4214193494,-214.717785708,-227.428902078,442.252573661,0.999948730237,100.999948653
47,1.88,-217.076572536,0.0737405037962,-10.3854106125,431.831191978,10.3803723169,-214.717785708,-227.388242645,442.211564295,0.999948728005,100.99994865
48,1.92,-217.076598373,0.0735956120098,-10.344589028,431.831231643,10.3393244223,-214.717785708,-227.347591789,442.170556065,0.99994872611,100.999948647
49,1.96,-217.07662542,0.0734481886797,-10.3037723558,431.831273391,10.298275632,-214.717785708,-227.306949587,442.129549023,0.99994872449,100.999948644
50,2,-217.076653731,0.0732982613894,-10.2629606549,431.83131731,10.257225913,-214.717785708,-227.266316125,442.088543223,0.999948723094,100.999948642
51,2.04,-217.076683363,0.0731458578499,-10.2221539892,431.831363492,10.2161752325,-214.717785708,-227.225691494,442.047538725,0.999948721878,100.999948639
52,2.08,-217.076714372,0.0729910058803,-10.1813524285,431.831412032,10.1751235587,-214.717785708,-227.185075795,442.006535591,0.99994872081,100.999948637
53,2.12,-217.076746822,0.072833733389,-10.1405560482,431.831463028,10.1340708608,-214.717785708,-227.144469137,441.965533889,0.99994871986,100.999948635
54,2.16,-217.076780776,0.0726740683546,-10.0997649301,431.831516581,10.093017109,-214.717785708,-227.103871638,441.92453369,0.999948719005,100.999948634
55,2.2,-217.076816302,0.0725120388083,-10.0589791626,431.831572796,10.0519622754,-214.717785708,-227.063283426,441.883535071,0.999948718228,100.999948632
56,2.24,-217.076853469,0.072347672815,-10.0181988415,431.831631781,10.0109063339,-214.717785708,-227.022704637,441.842538115,0.999948717512,100.99994863
57,2.28,-217.076892351,0.0721809984564,-9.97742406979,431.83169365,9.96984926085,-214.717785708,-226.982135422,441.801542911,0.999948716846,100.999948628
58,2.32,-217.076933026,0.0720120438134,-9.93665495898,431.831758519,9.92879103557,-214.717785708,-226.941575941,441.760549554,0.999948716219,100.999948627
59,2.36,-217.076975573,0.0718408369495,-9.89589162905,431.831826507,9.88773164068,-214.717785708,-226.901026365,441.719558148,0.999948715623,100.999948625
60,2.4,-217.077020077,0.0716674058947,-9.8551342092,431.83189774,9.84667106279,-214.717785708,-226.86048688,441.678568803,0.999948715052,100.999948624
61,2.44,-217.077066625,0.0714917786298,-9.81438283846,431.831972346,9.80560929315,-214.717785708,-226.819957685,441.637581639,0.9999487145,100.999948622
62,2.48,-217.07711531,0.0713139830711,-9.77363766628,431.832050458,9.76454632833,-214.717785708,-226.779438993,441.596596787,0.999948713964,100.999948621
63,2.52,-217.077166227,0.0711340470566,-9.73289885316,431.832132215,9.72348217096,-214.717785708,-226.738931033,441.555614386,0.999948713439,100.999948619
64,2.56,-217.077219476,0.0709519983315,-9.69216657138,431.832217758,9.68241683062,-214.717785708,-226.698434049,441.514634589,0.999948712923,100.999948618
65,2.6,-217.077275162,0.0707678645356,-9.65144100571,431.832307236,9.64135032472,-214.717785708,-226.657948303,441.47365756,0.999948712414,100.999948617
66,2.64,-217.077333393,0.0705816731912,-9.61072235411,431.8324008,9.60028267948,-214.717785708,-226.617474074,441.432683479,0.99994871191,100.999948615
67,2.68,-217.077394284,0.0703934516914,-9.57001082859,431.832498607,9.55921393104,-214.717785708,-226.577011661,441.391712539,0.99994871141,100.999948614
68,2.72,-217.077457952,0.0702032272898,-9.52930665595,431.832600822,9.51814412655,-214.717785708,-226.536561381,441.350744949,0.999948710913,100.999948612
69,2.76,-217.077524521,0.0700110270908,-9.48861007871,431.832707612,9.47707332546,-214.717785708,-226.496123573,441.309780937,0.999948710417,100.999948611
70,2.8,-217.077594121,0.0698168780408,-9.44792135591,431.83281915,9.43600160082,-214.717785708,-226.455698599,441.268820751,0.999948709923,100.99994861
71,2.84,-217.077666884,0.0696208069211,-9.40724076413,431.832935617,9.39492904074,-214.717785708,-226.415286842,441.227864658,0.99994870943,100.999948608
72,2.88,-217.077742952,0.0694228403409,-9.36656859833,431.833057198,9.35385574982,-214.717785708,-226.37488871,441.186912948,0.999948708937,100.999948607
73,2.92,-217.077822468,0.0692230047325,-9.32590517294,431.833184086,9.31278185083,-214.717785708,-226.334504636,441.145965937,0.999948708445,100.999948605
74,2.96,-217.077905585,0.0690213263464,-9.28525082282,431.833316477,9.27170748637,-214.717785708,-226.294135081,441.105023964,0.999948707952,100.999948604
75,3,-217.077992459,0.0688178312489,-9.24460590434,431.833454578,9.23063282067,-214.717785708,-226.253780532,441.064087398,0.99994870746,100.999948603
