# wp_state_index=73  write_every=1
step,time_au,x_mean,y_mean,z_mean,x2_mean,y2_mean,z2_mean,sigma_x2,sigma_y2,sigma_z2,norm_check,x_mean_circ,y_mean_circ,z_mean_circ,R_x,R_y,R_z,sigma_x_circ,sigma_y_circ,sigma_z_circ
0,0,-4.76432537318e-09,-3.41009293089e-09,-23.9999994305,0.125001442485,0.125001441334,576.124986953,0.125001442485,0.125001441334,0.125014289201,1,-5.70019586819e-10,4.17868381607e-10,-23.9999997308,0.997987811915,0.997987811916,0.999658524533,0.353554292455,0.353554292366,0.353566320813
1,0.04,-4.80576757817e-09,-3.68443170103e-09,-23.8605298119,0.128328264911,0.128328263757,569.453366693,0.128328264911,0.128328263757,0.128483789561,0.999968335838,-6.07126391805e-10,1.46855638959e-10,-23.860531574,0.997934312143,0.997934312144,0.999649146104,0.35822838455,0.358228384463,0.358389523546
2,0.08,-4.94365441993e-09,-4.54094180052e-09,-23.7210659232,0.138303763935,0.138303762795,562.827832436,0.138303763935,0.138303762795,0.138863901843,0.999936734319,-7.18955286419e-10,-6.84491365434e-10,-23.7210706089,0.997773910046,0.997773910047,0.999621083734,0.371891667524,0.371891667461,0.372449011771
3,0.12,-5.19959918462e-09,-6.01898400731e-09,-23.581609733,0.154935915267,0.154935914158,556.248479817,0.154935915267,0.154935914158,0.156162217263,0.999905211106,-9.12401869424e-10,-2.100830959e-09,-23.5816184738,0.997506528901,0.997506528901,0.999574314397,0.393619268706,0.39361926869,0.394770564634
4,0.16,-5.57308247363e-09,-8.13650285639e-09,-23.4421624237,0.178236600591,0.178236599537,549.715373444,0.178236600591,0.178236599537,0.180394343712,0.999873776892,-1.19471526872e-09,-4.12788307283e-09,-23.4421760422,0.997132063461,0.997132063461,0.999508798165,0.422181984847,0.422181984901,0.424069841692
5,0.2,-6.05938581769e-09,-1.09080025155e-08,-23.3027236045,0.208219371585,0.208219370617,543.228505437,0.208219371585,0.208219370617,0.211578051749,0.999842435895,-1.57351037509e-09,-6.79246782207e-09,-23.3027426038,0.996650416148,0.996650416146,0.999424491309,0.456312941474,0.456312941621,0.459031509891
6,0.24,-6.66558738778e-09,-1.43605127359e-08,-23.1632922815,0.2448978362,0.24489783536,536.787836082,0.2448978362,0.24489783536,0.249726765161,0.999811185565,-2.0567779421e-09,-1.0122527819e-08,-23.1633168308,0.996061523186,0.996061523182,0.999321362098,0.494875140943,0.49487514121,0.498478939008
7,0.28,-7.4049763411e-09,-1.85279832433e-08,-23.0238672842,0.288284681739,0.288284681078,530.393316683,0.288284681739,0.288284681078,0.294851963407,0.999780020971,-2.65289853608e-09,-1.41471604167e-08,-23.0238972016,0.995365370364,0.995365370356,0.999199384174,0.536926530788,0.536926531204,0.541443438789
8,0.32,-8.28851907178e-09,-2.34428013073e-08,-22.8844470097,0.338391209133,0.33839120872,524.044873103,0.338391209133,0.33839120872,0.346958164501,0.99974893133,-3.37066951562e-09,-1.88966599784e-08,-22.8844817509,0.994562000503,0.994562000492,0.999058549697,0.58172070375,0.58172070435,0.587158039575
9,0.36,-9.32440608153e-09,-2.91354086292e-08,-22.7450303101,0.395227305368,0.395227305289,517.742451349,0.395227305368,0.395227305289,0.406047543242,0.999717903245,-4.21933471127e-09,-2.44025547436e-08,-22.7450689794,0.993651513849,0.993651513832,0.998898858828,0.628679603335,0.628679604157,0.635031349605
10,0.4,-1.05238941639e-08,-3.56401375001e-08,-22.6056160327,0.458801471192,0.458801471553,511.485995204,0.458801471192,0.458801471553,0.472118988377,0.999686919177,-5.20859815421e-09,-3.06976492481e-08,-22.6056573826,0.992634067537,0.992634067513,0.998720321333,0.677359539485,0.677359540575,0.684610465234
11,0.44,-1.19025100219e-08,-4.29963445647e-08,-22.4662033107,0.529121025914,0.529121026847,505.275459459,0.529121025914,0.529121026847,0.545168262888,0.999655957506,-6.34863838174e-09,-3.78160811644e-08,-22.4662457679,0.991509872181,0.991509872149,0.998522957507,0.727420221274,0.727420222684,0.735547996195
12,0.48,-1.34735650227e-08,-5.12419231099e-08,-22.3267914362,0.606192254855,0.60619225652,499.110806708,0.606192254855,0.60619225652,0.625190870888,0.999624994184,-7.65012403199e-09,-4.57933662376e-08,-22.3268331157,0.990279189347,0.990279189303,0.998306790193,0.778599533634,0.778599535422,0.787577699582
13,0.52,-1.52451985762e-08,-6.04104840922e-08,-22.18737971,0.690020552644,0.690020555231,492.991997183,0.690020552644,0.690020555231,0.712178785965,0.999593999745,-9.12421239012e-09,-5.46664309036e-08,-22.1874184396,0.988942329066,0.988942329007,0.998071853142,0.830694135462,0.830694137695,0.84049207711
14,0.56,-1.72260047524e-08,-7.05371074786e-08,-22.0479675342,0.780610561336,0.780610565075,486.918996268,0.780610561336,0.780610565075,0.806123879176,0.999562940768,-1.0782535397e-08,-6.44736506454e-08,-22.0480008894,0.987499647407,0.98749964733,0.997818183134,0.883544924492,0.883544927245,0.89412925724
15,0.6,-1.94326086355e-08,-8.16658302128e-08,-21.9085542113,0.877966260947,0.877966266107,480.891762851,0.877966260947,0.877966266107,0.907015222682,0.999531777585,-1.26372042562e-08,-7.52548815916e-08,-21.9085795356,0.985951544792,0.985951544692,0.9975458251,0.93702624547,0.937026248826,0.948360685142
