sigma,v,s0_bohr,s_at_entry,s_at_exit,E_deposit_raw_eV,E_deposit_corrected_eV,S_deposit_raw,S_deposit_corrected,norm_final,t_final_au,steps_done,steps_target,complete
0.5,2.0,0.35355339059327373,8.139410298049853,25.811818998280614,61.782175937640204,5.9787600410600135,2.471287037505608,0.23915040164240053,0.0637923253744,144.92,3623,3623,True
0.5,2.5,0.35355339059327373,6.514982732133677,20.650544787002595,61.18643656069435,5.004219674046908,2.447457462427774,0.20016878696187632,0.046170091219,115.92,2898,2898,True
0.5,3.0,0.35355339059327373,5.432668671002207,17.20989702338615,61.15726285928031,4.183137151239862,2.446290514371212,0.16732548604959446,0.0320851655044,96.6,2415,2415,True
0.5,3.5,0.35355339059327373,4.6601326949663004,14.752464339276765,60.8376604242294,3.2713135363192123,2.433506416969176,0.13085254145276848,0.0182131679313,82.8,2070,2070,True
2.0,2.0,1.414213562373095,2.476451594519869,6.605513795307675,17.54555425534727,8.881420551206247,0.7018221702138908,0.3552568220482499,3.42845201012e-05,144.92,3623,3623,True
2.0,2.5,1.414213562373095,2.1552262062252305,5.352102390649865,18.388561132939685,8.979305786648183,0.7355424453175874,0.3591722314659273,7.39656222054e-07,115.92,2898,2898,True
2.0,3.0,1.414213562373095,1.9587765455905264,4.528075995632386,20.16493181999158,7.289950700735972,0.8065972727996632,0.29159802802943885,1.07911622574e-08,96.6,2415,2415,True
2.0,3.5,1.414213562373095,1.8301611393312796,3.9489730000472325,95.8077237240077,5.462087282559878,3.832308948960308,0.2184834913023951,1.16408262473e-09,82.8,2070,2070,True
3.0,2.0,2.1213203435596424,2.517301244498869,4.7961935138422245,17.18033200478385,10.792777668666531,0.687213280191354,0.43171110674666124,1.37494445009e-05,144.92,3623,3623,True
3.0,2.5,2.1213203435596424,2.382342451360752,4.042551449545475,17.897506320156026,10.028558327944666,0.715900252806241,0.40114233311778663,1.44546067976e-07,115.92,2898,2898,True
3.0,3.0,2.1213203435596424,2.305722885494126,3.5670387483315578,16.423243768420434,7.632164348427068,0.6569297507368174,0.3052865739370827,6.20740410876e-09,96.6,2415,2415,True
3.0,3.5,2.1213203435596424,2.258267752643691,3.246836939758245,76.71403417471538,5.531426453302629,3.0685613669886154,0.22125705813210517,1.3819202345e-09,82.8,2070,2070,True
