v,t_in,t_out,norm_at_slab_exit,norm_end,aliasing_sigma_pz2_pct,S_13,S_14,S_23,S_24,broadening_S13_minus_S23,E_deposit_raw_eV,E_deposit_corrected_eV,S_deposit_raw,S_deposit_corrected,norm_final,t_final_au,steps_done,steps_target,complete,S_13_localised,S_14_localised,S_23_localised,S_24_localised
2.0,5.75,18.25,0.744558480362,0.0637923253744,0.046226998938303517,1.843559036369705,1.6461165471440424,1.0039872718043317,0.9122427756922026,0.8395717645653733,61.782175937640204,5.9787600410600135,2.471287037505608,0.23915040164240053,0.0637923253744,144.92,3623,3623,True,-0.38331163627572296,-0.3839803522987388,-0.16727401078635312,-0.16745789415080736
2.5,4.6,14.6,0.832648715503,0.046170091219,0.26057897219349263,1.4324750613481998,1.3673136927415444,0.8486340281712268,0.8183438633229513,0.583841033176973,61.18643656069435,5.004219674046908,2.447457462427774,0.20016878696187632,0.046170091219,115.92,2898,2898,True,-0.3634010667140663,-0.3634940263624711,-0.16958863544926053,-0.1696153819748855
3.0,3.83,12.17,0.892550137203,0.0320851655044,1.239320775067543,1.0488841935058582,1.0316196370168491,0.6755609352245072,0.6678476217668983,0.37332325828135093,61.15726285928031,4.183137151239862,2.446290514371212,0.16732548604959446,0.0320851655044,96.6,2415,2415,True,-0.33128913698143586,-0.3313316074486417,-0.19237580216041986,-0.19240214135888828
3.5,3.29,10.43,0.930316516063,0.0182131679313,5.059177882373978,0.7154429193166522,0.7130448126437369,0.4897154269411728,0.48930771864947575,0.22572749237547934,60.8376604242294,3.2713135363192123,2.433506416969176,0.13085254145276848,0.0182131679313,82.8,2070,2070,True,-0.2717766679599101,-0.27204236271717863,-0.23759197762404982,-0.23782707303544592
