window,estimator,path,t0,t1,S_wp,sigma_wp,r2_wp,n,S_cl,sigma_cl,r2_cl,ratio,S_cl_bath
T1  9-25,T1,int<p>dt,9.0,25.0,0.08772775430769203,9.15173154976092e-05,0.9991312359602399,801,0.1095641968998538,0.00010550996580483483,0.9992595857858988,0.8006972787641461,0.10956463761087591
T1  9-25,T1,centroid,9.0,25.0,0.08777768984055884,9.096704883459189e-05,0.9991426183567127,801,0.1095641968998538,0.00010550996580483483,0.9992595857858988,0.8011530438249939,0.10956463761087591
T2  21-30,T2,int<p>dt,21.0,30.0,0.08385634214712416,0.0002989597713352377,0.9943254870789708,451,0.1321693426364269,0.00021167587686161046,0.9988496559767027,0.6344613695915644,0.1321698297844707
T2  21-30,T2,centroid,21.0,30.0,0.08401953885292204,0.0003008020763267057,0.9942779031915202,451,0.1321693426364269,0.00021167587686161046,0.9988496559767027,0.6356961242066858,0.1321698297844707
T2  5-20,T2,int<p>dt,5.0,20.0,0.012892524748043461,7.481412310138918e-05,0.9753988566147529,751,0.09790785791234724,0.0003019216952664037,0.9929278242712063,0.13168018403165957,0.09790836140229209
T2  5-20,T2,centroid,5.0,20.0,0.01289536565018814,7.485456309916468e-05,0.9753834914172026,751,0.09790785791234724,0.0003019216952664037,0.9929278242712063,0.13170920011070833,0.09790836140229209
