estimator,half,S_ev_per_bohr,uncertainty,r2,n,t0,t1,mean_v
S_13,wp,0.004524304177293931,0.008617894609233952,0.4299653329934263,436,1.536,10.24,1.912714621833922
S_14,wp,0.00452425305857737,0.008617394005932364,0.42997713938967697,436,1.536,10.24,1.912714621833922
S_23,wp,0.042699702574631127,0.027546750506998098,0.9121784689946436,436,1.536,10.24,1.912714621833922
S_24,wp,0.04269879470800908,0.027544138341643022,0.9121853398293517,436,1.536,10.24,1.912714621833922
S_cl_same_window,classical,0.04637691472405452,0.030289901860695096,0.9117175931547743,436,1.536,10.24,1.9123453698331212
S_cl_initial_drag,classical,0.0970975383428666,0.0023580609464326687,0.9704004109320823,1501,0.0,30.0,1.8793222821995168
