r_cut,ideal_eV,impl_eV,gap_eV,e_proj_eV,e_proj_ideal_eV,err_term_eV,residual_inq_eV,self_hartree_eV
50,134.6887448,-139.8249498,274.5136946,141.4631294,-139.8666436,6.816078443,13.99,20.806
120,134.6887448,-524.5372837,659.2260285,532.810001,-139.8666436,13.4506161,7.36,20.811
