r_s,v,S_ha_per_bohr,S_err
6,0.15,0.0019874583751022666,2.7230973818172563e-05
6,0.3,0.003938617445935398,5.322017878394573e-05
6,0.45,0.006075688208721433,7.560605568435526e-05
4,0.15,0.0029583802977205314,3.967132356557861e-05
4,0.3,0.005841368829295539,7.595029382493185e-05
4,0.45,0.009014614076085743,0.00010151108611329928
2,0.15,0.006754573840532635,8.186240650432313e-05
2,0.3,0.01346605788302807,0.00016219374857835564
2,0.45,0.02167675944440372,0.0001949885734787583
