step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.0772626893522,-12.3099172826,431.830598261,12.3099140629,-214.717785708,-229.308792912,444.140512324,1,101
1,0.04,-217.076138165,0.0772609756412,-12.2585088723,431.83059811,12.2585028147,-214.717785708,-229.257386062,444.089100925,0.999992584379,100.999992582
2,0.08,-217.076138276,0.0772559469904,-12.2071254911,431.830598226,12.2071122394,-214.717785708,-229.20600782,444.037710465,0.999986423658,100.999986418
3,0.12,-217.076138659,0.0772476005213,-12.1557638125,431.830598615,12.1557389988,-214.717785708,-229.154654871,443.986337614,0.99998131757,100.999981309
4,0.16,-217.076139318,0.0772359350302,-12.1044210097,431.830599286,12.1043802535,-214.717785708,-229.103324393,443.93497954,0.999977095638,100.999977085
5,0.2,-217.076140262,0.0772209508255,-12.0530946867,431.830600248,12.0530335943,-214.717785708,-229.052013998,443.883633843,0.999973613104,100.9999736
6,0.24,-217.076141497,0.0772026495904,-12.0017828179,431.830601513,12.0016969817,-214.717785708,-229.000721666,443.832298495,0.999970747358,100.999970732
7,0.28,-217.076143031,0.0771810342687,-11.9504836958,431.830603092,11.9503686931,-214.717785708,-228.949445693,443.780971785,0.999968394817,100.999968377
8,0.32,-217.076144873,0.0771561089688,-11.8991958848,431.830604999,11.899047277,-214.717785708,-228.898184649,443.729652276,0.999966468198,100.999966448
9,0.36,-217.076147031,0.0771278788832,-11.8479181816,431.830607248,11.8477315133,-214.717785708,-228.846937333,443.678338761,0.999964894154,100.999964872
10,0.4,-217.076149514,0.0770963502213,-11.7966495809,431.830609856,11.7964203784,-214.717785708,-228.795702745,443.627030235,0.999963611211,100.999963586
11,0.44,-217.076152334,0.0770615301524,-11.7453892454,431.830612841,11.7451130157,-214.717785708,-228.744480049,443.575725857,0.999962567988,100.999962541
12,0.48,-217.076155501,0.0770234267575,-11.6941364804,431.830616222,11.6938087094,-214.717785708,-228.693268554,443.524424931,0.999961721662,100.999961693
13,0.52,-217.076159026,0.0769820489883,-11.6428907115,431.830620019,11.6425068628,-214.717785708,-228.642067688,443.473126882,0.999961036635,100.999961006
14,0.56,-217.076162922,0.0769374066317,-11.5916514658,431.830624255,11.591206979,-214.717785708,-228.590876981,443.421831234,0.999960483403,100.999960451
15,0.6,-217.076167203,0.0768895102784,-11.5404183561,431.830628954,11.5399086447,-214.717785708,-228.539696049,443.370537599,0.999960037577,100.999960003
16,0.64,-217.076171882,0.0768383712955,-11.4891910668,431.830634142,11.4886115165,-214.717785708,-228.488524577,443.319245659,0.999959679054,100.999959643
17,0.68,-217.076176974,0.0767840018018,-11.4379693427,431.830639845,11.437315309,-214.717785708,-228.437362315,443.267955154,0.999959391311,100.999959353
