step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.74230228624,-12.3099114237,431.830598261,12.309912472,-214.717785708,-228.643747456,444.140510733,1,101
1,0.04,-217.076138126,0.731673989772,-12.2688449364,431.830598072,12.2688436458,-214.717785708,-228.613309073,444.099441717,0.999996590629,100.999996588
2,0.08,-217.076138118,0.702316702717,-12.227783703,431.830598067,12.2277757613,-214.717785708,-228.601605118,444.058373828,0.999993186444,100.999993181
3,0.12,-217.076138293,0.660103496412,-12.1867280429,431.830598249,12.1867091315,-214.717785708,-228.602762839,444.01730738,0.999989787529,100.999989779
4,0.16,-217.076138652,0.611424689066,-12.1456781012,431.830598619,12.1456438949,-214.717785708,-228.610392064,443.976242514,0.999986395935,100.999986385
5,0.2,-217.076139194,0.561377095457,-12.1046337513,431.83059918,12.1045799184,-214.717785708,-228.61939585,443.935179098,0.999983016264,100.999983003
6,0.24,-217.076139921,0.513219333144,-12.0635948259,431.830599936,12.0635170276,-214.717785708,-228.626515414,443.894116963,0.999979653035,100.999979637
7,0.28,-217.076140833,0.468632212698,-12.0225611928,431.830600891,12.0224550834,-214.717785708,-228.630069813,443.853055975,0.99997630929,100.999976291
8,0.32,-217.076141929,0.428248369604,-11.9815327941,431.830602052,11.9813940202,-214.717785708,-228.629426353,443.811996072,0.99997298628,100.999972966
9,0.36,-217.07614321,0.392099264712,-11.9405096033,431.830603423,11.9403338037,-214.717785708,-228.624553549,443.770937227,0.999969683949,100.999969661
10,0.4,-217.076144677,0.359917485135,-11.8994915949,431.830605014,11.8992744003,-214.717785708,-228.615718787,443.729879414,0.999966401146,100.999966376
11,0.44,-217.076146331,0.331314094947,-11.8584787568,431.830606831,11.8582157888,-214.717785708,-228.603310993,443.68882262,0.999963136232,100.999963109
12,0.48,-217.076148172,0.305871729917,-11.817471074,431.830608885,11.8171579446,-214.717785708,-228.587747516,443.647766829,0.999959887317,100.999959858
13,0.52,-217.076150201,0.283191840831,-11.7764685304,431.830611184,11.7761008412,-214.717785708,-228.569426891,443.606712025,0.999956652353,100.999956622
14,0.56,-217.076152421,0.262913865474,-11.7354711116,431.830613742,11.7350444527,-214.717785708,-228.548709667,443.565658194,0.999953429338,100.999953397
15,0.6,-217.076154833,0.244720972443,-11.6944788007,431.830616569,11.6939887495,-214.717785708,-228.525912661,443.524605319,0.999950216232,100.999950182
