run_path,projectile_type,S_measured_eVperBohr,S_uncertainty_eVperBohr,window_t_start,window_t_end,window_z_start,window_z_end,E_eV,v_au,v_centroid_final,packet_sigma_initial,packet_sigma_final,error,v_over_vF,kappa,S_Bethe_pure,S_Bethe_Lindhard,S_Bloch_corrected,k0_sigma,box_deficit_fraction
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_classical_n162_L50_E50,classical,0.553081811249301,0.004230792759593241,1.5649370634477648,14.606079258845806,-6.936753214436332,7.140617449995145,50.0,1.91701,1.754602656624463,,,,5.688456973293769,1.0432913756318434,0.488444831009565,0.4281955946243509,0.39610526366586074,,-0.29165693947531324
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_classical_n162_L50_E100,classical,0.38115746376952414,0.0024128304903889815,1.1065768754361354,10.32805083740393,-6.96504868381339,17.4337904962311,,2.71106334010243,2.537846776380566,,,,8.044698338582878,0.7377179169574236,0.2859837042682652,0.25585912605339245,0.24702717566710433,,-0.48971611702443063
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_classical_n162_L50_E300,classical,,,,,,,,,,,,no run_summary.txt,,,,,,,
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_classical_n162_L50_E600,classical,0.06603403946533389,0.00037889452091243185,0.4517581176636453,4.216409098194023,-6.81252603509636,17.87426434515654,,6.640721843616406,6.628955496990721,,,,19.705406064143638,0.3011720784424302,0.06565595013571067,0.06063518709989854,0.06036671353627754,,-0.08903827337978765
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_classical_e1500_L50_cubic,classical,0.026097570020784534,0.00014203766547855317,0.28571692065749266,2.6666912594699315,-6.850040989049571,17.92699662470354,,10.49990316673017,10.49662272197487,,,,31.156982690593978,0.1904779471049951,0.02994276296360504,0.027934457749280193,0.027891003463423294,,0.06575705692883871
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_wp_n162_L50_E25,wave_packet,,,,,,,,,,,,no run_summary.txt,,,,,,,
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_wp_n162_L50_E50,wave_packet,,,,,,,,,,5.0,,no WP k0 parseable,,,,,,,
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_wp_n162_L50_E100,wave_packet,-3.837293614559277e-08,2.407715173167254e-09,1.1065768754361354,10.32805083740393,-7.43081674226271,16.0347300688393,100.0,2.71106334010243,,5.0,,,8.044698338582878,0.7377179169574236,0.2859837042682652,0.25585912605339245,0.24702717566710433,13.55531670051215,1.0000001499768123
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_wp_n162_L50_E300,wave_packet,-2.8449321768647507e-06,1.134026044998513e-08,0.6388824569120677,5.962902931179298,-7.52488757188709,16.2324302022686,300.0,4.695699447594793,,5.0,,,13.933826253990482,0.42592163794137844,0.11739138930129026,0.107349863229666,0.10629603967025415,23.47849723797396,1.000026501497918
/local/data/public/skcb2/tddft/ResearchProject/systems/jellium/run_wp_n162_L50_E600,wave_packet,-0.00013119336117041613,5.243910630785549e-07,0.4517581176636453,4.216409098194023,-7.35544246901157,16.2312797848144,600.0,6.640721843616406,,5.0,,,19.705406064143638,0.3011720784424302,0.06565595013571067,0.06063518709989854,0.06036671353627754,33.20360921808203,1.0021636506366225
