v_au,E_eV,S_point_loc,S_finiteSigma_wp0.5,S_finiteSigma_wp1.0
0.7,6.66678957,2.3509353884995234,2.1437579766769868,1.6883810153968557
0.9857142857142857,13.219735586326529,2.5559183630537547,2.3026813668354666,1.8139921713251899
1.2714285714285714,21.99401923530612,2.001136674000922,1.7527762983052473,1.3537237469322465
1.557142857142857,32.98964051693877,1.56563568467696,1.3321148312154176,1.0213189176479294
1.8428571428571427,46.20659943122448,1.2513011277476311,1.0358021722878594,0.7955504889713019
2.128571428571428,61.64489597816324,1.0222210365277493,0.8253737967842104,0.6379806241334388
2.414285714285714,79.3045301577551,0.8513072319191868,0.672478458301418,0.5239657802658808
2.7,99.18550197000002,0.7206859996478321,0.5585987127859902,0.43876060157856417
2.9857142857142858,121.28781141489796,0.6186552483887129,0.4717536195269036,0.37333409232872794
3.2714285714285714,145.61145849244897,0.5374174974844972,0.4040887258061671,0.32194370722194127
3.557142857142857,172.15644320265304,0.47164042137532486,0.3503415446760362,0.28079107022242067
3.8428571428571425,200.92276554551017,0.41760265699262056,0.3069237109590608,0.24729528503990644
4.128571428571428,231.9104255210204,0.3726385244391626,0.271325678984605,0.21964389772473825
4.414285714285714,265.1194231291836,0.33478275596626983,0.24173851050948925,0.1965165048508101
4.7,300.54975837000006,0.30262440071627034,0.21689618540182615,0.1769950873588071
4.985714285714286,338.2014312434694,0.27498233528445704,0.1957465094873353,0.16027997490409007
5.271428571428571,378.0744417495918,0.2511037196245777,0.177648603836679,0.14591658186382364
5.557142857142857,420.1687898883673,0.23035267558707884,0.16206264502256656,0.13350497843753506
5.8428571428571425,464.48447565979586,0.2122396749474076,0.14858097751487753,0.12274414990080025
6.128571428571428,511.0214990638775,0.19609991424427028,0.1366084550466234,0.1131215070866969
6.414285714285714,559.7798601006122,0.1817496227320848,0.12602045697619546,0.10457682858990519
6.7,610.75955877,0.16930443052734043,0.11698298061479045,0.09732708993393352
