window,estimator,path,t0,t1,S_wp,sigma_wp,r2_wp,n,S_cl,sigma_cl,r2_cl,ratio,S_cl_bath
T1  9-25,T1,int<p>dt,9.0,25.0,0.08961857740234645,7.151027578849233e-05,0.999491528387948,801,0.1095641968998538,0.00010550996580483483,0.9992595857858988,0.8179549518741194,0.10956463761087591
T1  9-25,T1,centroid,9.0,25.0,0.089662654569928,7.104666618434822e-05,0.9994985897733311,801,0.1095641968998538,0.00010550996580483483,0.9992595857858988,0.8183572472299813,0.10956463761087591
T2  21-30,T2,int<p>dt,21.0,30.0,0.07767405308640972,0.0003390037781571341,0.9915198236397421,451,0.1321693426364269,0.00021167587686161046,0.9988496559767027,0.5876858546544828,0.1321698297844707
T2  21-30,T2,centroid,21.0,30.0,0.07779987083330288,0.0003405274765319854,0.9914714904534091,451,0.1321693426364269,0.00021167587686161046,0.9988496559767027,0.5886377981565343,0.1321698297844707
T2  5-20,T2,int<p>dt,5.0,20.0,0.02644729019467539,5.286397481406892e-05,0.9970163945959518,751,0.09790785791234724,0.0003019216952664037,0.9929278242712063,0.270124285819352,0.09790836140229209
T2  5-20,T2,centroid,5.0,20.0,0.02645262237191104,5.2927664257603813e-05,0.9970104246088519,751,0.09790785791234724,0.0003019216952664037,0.9929278242712063,0.27017874699692596,0.09790836140229209
