rung,R_in,R_in_over_sigma,n_steps,t_end_au,f_wall_t0,f_wall_end,f_bore_t0,f_bore_end,fw_fit_mean,fw_fit_lo,fw_fit_hi,fw_fit_drift,dE_wp_T1_ev,dE_wp_T2_ev,dE_cl_ke_ev,frac_loss_cl,S_wp[T1  9-25|T1],S_cl[T1  9-25|T1],S_wp[T2  21-30|T2],S_cl[T2  21-30|T2],S_wp[T2  5-20|T2],S_cl[T2  5-20|T2]
r10,10.0,2.5,1501,30.0,0.00204263529543,0.129138533538,0.997952241388,0.45730325777,0.12266866286348102,0.0333311392801,0.163759066393,4.913095379574097,3.942535436990113,1.803829494436222,5.125555461592199,0.10251111038909694,0.08772775430769203,0.1095641968998538,0.08385634214712416,0.1321693426364269,0.012892524748043461,0.09790785791234724
r08,8.0,2.0,1501,30.0,0.0191612468282,0.224262222268,0.980833629859,0.155205655084,0.3447777406201798,0.156852145489,0.423096658189,2.6974234676227087,5.44373237774861,3.0916014948649675,8.289201976031158,0.16578404139216732,0.11728739311076462,0.18222220198112252,0.1772930592438509,0.20003861660256378,0.0018955684986023322,0.16867976918160393
r06,6.0,1.5,1501,30.0,0.113615505485,0.280423077527,0.886379371202,0.0301027489838,0.6401997041143384,0.444787990368,0.755929777216,1.6995283001921289,6.671770529981288,5.241277885393089,11.83447187813934,0.23668944023478547,0.13526349628128917,0.2708417379953396,0.26273580850539346,0.2618105807690488,0.034704890654476996,0.2593193970597977
r04,4.0,1.0,1501,30.0,0.379244588407,0.562287113768,0.62075028828,0.0045536377662,0.8726236025582798,0.684465909154,0.958484884472,1.4003398440350192,7.7018691180434615,7.15956036020895,15.882997924521788,0.31765996207651465,0.1523769241848718,0.36816526425140184,0.22018804339626474,0.3435158527578262,0.1404043173986533,0.35891700468629684
r00,0.0,0.0,1501,30.0,0.999994876687,0.942236665896,0.0,0.0,0.9889885942346155,0.96094576432,0.999927229778,1.0405657289988521,9.436557440521241,9.263809855483686,20.818663745604105,0.41637327961254045,0.20170948827844823,0.4859359353124194,0.09049238858781636,0.4707070877741055,0.25775802413393234,0.4735964087436657
