name,k0,E_eV,L,anchor,showcase,eps,rc,seconds,status
run_mfa_E0000.54_L5,0.20000000000000004,0.5442277249197601,5,0,0,0.805996,0,1224.8476827144623,OK
run_mfa_E0001.01_L5,0.27246689718861966,1.0100623041256227,5,0,0,0.744457,0,756.4957070350647,OK
run_mfa_E0001.87_L5,0.3711910503179693,1.8746304377748904,5,0,0,0.669158,0,348.2398636341095,OK
run_mfa_E0003.48_L5,0.5056863687216094,3.47923020577848,5,0,0,0.576937,0,123.02112030982971,OK
run_mfa_E0006.46_L5,0.6889139791807859,6.457295571904591,5,0,0,0.473433,0,63.41534113883972,OK
run_mfa_E0011.98_L5,0.9385312716862704,11.984451627744185,5,0,0,0.359515,0,33.490965366363525,OK
run_mfa_E0022.24_L5,1.2785935175542373,22.242605935936293,5,0,0,0.24247,0,18.78662633895874,OK
run_mfa_E0041.28_L5,1.74187204246743,41.28128129584446,5,0,0,0.132982,0,13.12895917892456,OK
run_mfa_E0076.62_L5,2.373012353553521,76.61621081338018,5,0,0,0.0500569,0,7.643471956253052,OK
run_mfa_E0142.20_L5,3.2328365648149595,142.19625881600786,5,0,0,0.0102257,0,6.000986337661743,OK
run_mfa_E0263.91_L5,4.404204739665239,263.90989330599865,5,0,0,0.000669637,0,4.82918119430542,OK
run_mfa_E0489.80_L5,6.0,489.804952427784,5,0,0,1.15789e-05,0,4.009267091751099,OK
run_mfa_E0000.54_L10,0.20000000000000004,0.5442277249197601,10,0,0,0.738389,0,1843.199300289154,OK
run_mfa_E0001.01_L10_show,0.27246689718861966,1.0100623041256227,10,0,1,0.660747,0,597.1887040138245,OK
run_mfa_E0001.87_L10,0.3711910503179693,1.8746304377748904,10,0,0,0.568227,0,286.27954149246216,OK
run_mfa_E0003.48_L10,0.5056863687216094,3.47923020577848,10,0,0,0.459934,0,198.43351531028748,OK
run_mfa_E0006.46_L10,0.6889139791807859,6.457295571904591,10,0,0,0.339887,0,75.70763897895813,OK
run_mfa_E0011.98_L10,0.9385312716862704,11.984451627744185,10,0,0,0.220955,0,41.546260595321655,OK
run_mfa_E0022.24_L10,1.2785935175542373,22.242605935936293,10,0,0,0.11614,0,24.10848355293274,OK
run_mfa_E0041.28_L10,1.74187204246743,41.28128129584446,10,0,0,0.0432487,0,17.973535537719727,OK
run_mfa_E0076.62_L10,2.373012353553521,76.61621081338018,10,0,0,0.00774844,0,9.976268291473389,OK
run_mfa_E0142.20_L10_show,3.2328365648149595,142.19625881600786,10,0,1,0.00041586,0,8.126004219055176,OK
run_mfa_E0263.91_L10,4.404204739665239,263.90989330599865,10,0,0,5.21251e-06,0,5.66598916053772,OK
run_mfa_E0489.80_L10,6.0,489.804952427784,10,0,0,4.31007e-08,0,4.979644536972046,OK
run_mfa_E0000.54_L20,0.20000000000000004,0.5442277249197601,20,0,0,0.649884,0,1485.5821588039398,OK
run_mfa_E0001.01_L20,0.27246689718861966,1.0100623041256227,20,0,0,0.554803,0,705.2091002464294,OK
run_mfa_E0001.87_L20,0.3711910503179693,1.8746304377748904,20,0,0,0.443773,0,495.7752194404602,OK
run_mfa_E0003.48_L20,0.5056863687216094,3.47923020577848,20,0,0,0.324756,0,192.41897535324097,OK
run_mfa_E0006.46_L20,0.6889139791807859,6.457295571904591,20,0,0,0.207159,0,139.7233235836029,OK
run_mfa_E0011.98_L20_show,0.9385312716862704,11.984451627744185,20,0,1,0.103622,0,60.9558892250061,OK
run_mfa_E0022.24_L20,1.2785935175542373,22.242605935936293,20,0,0,0.0303961,0,36.2537727355957,OK
run_mfa_E0041.28_L20,1.74187204246743,41.28128129584446,20,0,0,0.00316609,0,23.418351650238037,OK
run_mfa_E0076.62_L20,2.373012353553521,76.61621081338018,20,0,0,0.000110186,0,15.782538890838623,OK
run_mfa_E0142.20_L20,3.2328365648149595,142.19625881600786,20,0,0,1.4465e-06,0,11.548550367355347,OK
run_mfa_E0263.91_L20,4.404204739665239,263.90989330599865,20,0,0,1.53542e-08,0,11.131325721740723,OK
run_mfa_E0489.80_L20,6.0,489.804952427784,20,0,0,2.41674e-09,0,8.103123188018799,OK
run_mfa_E0000.54_L30,0.20000000000000004,0.5442277249197601,30,0,0,0.588599,0,1701.3239977359772,OK
run_mfa_E0001.01_L30,0.27246689718861966,1.0100623041256227,30,0,0,0.482943,0,1216.3143091201782,OK
run_mfa_E0001.87_L30,0.3711910503179693,1.8746304377748904,30,0,0,0.365709,0,429.4112229347229,OK
run_mfa_E0003.48_L30,0.5056863687216094,3.47923020577848,30,0,0,0.246105,0,321.73650217056274,OK
run_mfa_E0006.46_L30,0.6889139791807859,6.457295571904591,30,0,0,0.129662,0,134.8130328655243,OK
run_mfa_E0011.98_L30,0.9385312716862704,11.984451627744185,30,0,0,0.0361328,0,106.39223504066467,OK
run_mfa_E0022.24_L30,1.2785935175542373,22.242605935936293,30,0,0,0.00332362,0,64.96385884284973,OK
run_mfa_E0041.28_L30_show,1.74187204246743,41.28128129584446,30,0,1,0.000109594,0,42.12478733062744,OK
run_mfa_E0076.62_L30,2.373012353553521,76.61621081338018,30,0,0,1.79494e-06,0,21.95146608352661,OK
run_mfa_E0142.20_L30,3.2328365648149595,142.19625881600786,30,0,0,3.72469e-08,0,21.243025541305542,OK
run_mfa_E0263.91_L30,4.404204739665239,263.90989330599865,30,0,0,2.529e-09,0,13.595645427703857,OK
run_mfa_E0489.80_L30,6.0,489.804952427784,30,0,0,9.39973e-10,0,10.276753902435303,OK
run_mfa_E0000.54_L40,0.20000000000000004,0.5442277249197601,40,0,0,0.54083,0,2721.934507369995,OK
run_mfa_E0001.01_L40,0.27246689718861966,1.0100623041256227,40,0,0,0.429159,0,983.942595243454,OK
run_mfa_E0001.87_L40,0.3711910503179693,1.8746304377748904,40,0,0,0.309022,0,711.6723024845123,OK
run_mfa_E0003.48_L40,0.5056863687216094,3.47923020577848,40,0,0,0.182647,0,290.75711584091187,OK
run_mfa_E0006.46_L40,0.6889139791807859,6.457295571904591,40,0,0,0.0605456,0,168.4551374912262,OK
