# iter time_au total_energy_Ha excess_energy_Ha
471 18.84 -389.2720594167892 -389.3120594167892
472 18.88 -389.2696802861908 -389.3096802861908
473 18.92 -389.2672923827805 -389.3072923827805
474 18.96 -389.2649464348109 -389.3049464348109
475 19 -389.2629679801287 -389.3029679801287
476 19.04 -389.2610954517511 -389.3010954517512
477 19.08 -389.2595635836814 -389.2995635836814
478 19.12 -389.2583874930651 -389.2983874930651
479 19.16 -389.2577187675444 -389.2977187675444
480 19.2 -389.2572215691704 -389.2972215691704
481 19.24 -389.2569348546369 -389.296934854637
482 19.28 -389.2567816424685 -389.2967816424685
483 19.32 -389.256623603266 -389.296623603266
484 19.36 -389.2564912385094 -389.2964912385094
485 19.4 -389.2562615350931 -389.2962615350931
486 19.44 -389.2559995203495 -389.2959995203495
487 19.48 -389.2556802269529 -389.2956802269529
488 19.52 -389.2553117306128 -389.2953117306128
489 19.56 -389.2549625624935 -389.2949625624935
490 19.6 -389.2545406991067 -389.2945406991067
491 19.64 -389.2540571800117 -389.2940571800117
492 19.68 -389.2533968429873 -389.2933968429873
493 19.72 -389.252554683711 -389.292554683711
494 19.76 -389.2515711329779 -389.2915711329779
495 19.8 -389.250202194275 -389.290202194275
496 19.84 -389.2484052520192 -389.2884052520192
497 19.88 -389.2465871040276 -389.2865871040276
498 19.92 -389.2445770060138 -389.2845770060138
499 19.96 -389.2425314678549 -389.2825314678549
500 20 -389.2404271721927 -389.2804271721927
