# wp_state_index=73  write_every=1
step,time_au,x_mean,y_mean,z_mean,x2_mean,y2_mean,z2_mean,sigma_x2,sigma_y2,sigma_z2,norm_check,x_mean_circ,y_mean_circ,z_mean_circ,R_x,R_y,R_z,sigma_x_circ,sigma_y_circ,sigma_z_circ
0,0,2.08097428178e-13,6.55822618434e-13,-24,4.50000000002,4.50000000002,580.5,4.50000000002,4.50000000002,4.50000000016,1,2.89279695762e-13,6.69730418921e-13,-24,0.930055163248,0.930055163248,0.987780949448,2.12132034356,2.12132034356,2.12132034359
1,0.04,-3.54307090291e-11,-2.61784106972e-10,-23.8599465925,4.50010276888,4.50010276911,573.79676492,4.50010276888,4.50010276911,4.49971352249,0.999992695919,-3.54595670546e-11,-2.66805105962e-10,-23.8599489359,0.930053613959,0.930053613956,0.987781703529,2.12134470998,2.12134471003,2.12125448142
2,0.08,-1.46814511276e-10,-1.0635508773e-09,-23.7199047705,4.5004110161,4.50041101701,567.133600111,4.5004110161,4.50041101701,4.49971778831,0.999987007177,-1.47219489261e-10,-1.08404322256e-09,-23.7199090311,0.930048967009,0.930048966995,0.987781675725,2.12141779338,2.1214177936,2.12125690987
3,0.12,-3.40859640805e-10,-2.42719749867e-09,-23.5798721592,4.50092476162,4.5009247637,560.510369264,4.50092476162,4.5009247637,4.49999821805,0.999982589801,-3.41979956656e-10,-2.47417350096e-09,-23.5798779861,0.930041222153,0.930041222121,0.987780904919,2.1215395933,2.1215395938,2.12132423264
4,0.16,-6.24824607474e-10,-4.37612463666e-09,-23.4398468188,4.50164402748,4.50164403123,553.92696162,4.50164402748,4.50164403123,4.50054273101,0.999979168363,-6.2707844178e-10,-4.46120543655e-09,-23.4398539252,0.930030379147,0.93003037909,0.987779423309,2.12171010641,2.12171010731,2.12145363182
5,0.2,-1.00632364062e-09,-6.93460986817e-09,-23.2998271709,4.50256883804,4.50256884396,547.383287579,4.50256883804,4.50256884396,4.50134138289,0.999976523372,-1.01021380563e-09,-7.07006013796e-09,-23.2998353249,0.930016437744,0.930016437653,0.987777257379,2.12192932657,2.121929328,2.12164278349
6,0.24,-1.49333909174e-09,-1.01278372147e-08,-23.1598119366,4.50369922014,4.50369922879,540.879274986,4.50369922014,4.50369922879,4.50238604629,0.999974480765,-1.49945913893e-09,-1.03266015984e-08,-23.1598209524,0.929999397687,0.929999397555,0.987774428759,2.12219724489,2.12219724697,2.12188978335
7,0.28,-2.09423377327e-09,-1.39819263911e-08,-23.0198000828,4.50503520335,4.50503521528,534.414865984,4.50503520335,4.50503521528,4.50367013093,0.999972903198,-2.10327545824e-09,-1.4257668993e-08,-23.0198098139,0.929979258714,0.929979258531,0.987770954978,2.12251384975,2.12251385262,2.1221930815
8,0.32,-2.81776430733e-09,-1.85239635768e-08,-22.8797907776,4.50657682016,4.50657683596,527.990014367,4.50657682016,4.50657683596,4.50518834017,0.999971682846,-2.83052475632e-09,-1.88911090022e-08,-22.8798011101,0.929956020546,0.929956020304,0.98776685011,2.12287912689,2.12287913069,2.12255142568
9,0.36,-3.67309410059e-09,-2.3782033269e-08,-22.7397833522,4.5083241062,4.50832412648,521.604683367,4.5083241062,4.50832412648,4.50693646072,0.999970735494,-3.69048322754e-09,-2.42558086205e-08,-22.7397941999,0.92992968289,0.92992968258,0.987762125346,2.12329305947,2.12329306434,2.12296381219
10,0.4,-4.66980717003e-09,-2.97852497776e-08,-22.5997772697,4.51027710049,4.51027712587,515.25884382,4.51027710049,4.51027712587,4.50891118239,0.999969995717,-4.69285505182e-09,-3.03817292327e-08,-22.5997885691,0.929900245433,0.929900245045,0.987756789468,2.12375562807,2.12375563417,2.12342944389
11,0.44,-5.81792097644e-09,-3.65637892066e-08,-22.459772098,4.51243584565,4.51243587679,508.952472638,4.51243584565,4.51243587679,4.5111099445,0.999969412957,-5.84778629415e-09,-3.72999404865e-08,-22.459783805,0.929867707841,0.929867707364,0.987750849268,2.12426681084,2.12426681832,2.12394769432
12,0.48,-7.12790064092e-09,-4.4148922577e-08,-22.3197674889,4.51480038824,4.51480042582,502.685551564,4.51480038824,4.51480042582,4.51353080618,0.999968948355,-7.16587970222e-09,-4.50426556316e-08,-22.3197795752,0.929832069749,0.929832069174,0.987744309886,2.12482658348,2.12482659251,2.1245180775
13,0.52,-8.61067367168e-09,-5.25730488693e-08,-22.1797631594,4.517370779,4.51737082372,496.458066146,4.517370779,4.51737082372,4.51617233748,0.999968572207,-8.65820991648e-09,-5.36432667921e-08,-22.1797756101,0.929793330763,0.929793330079,0.987737175108,2.12543491941,2.12543493016,2.12514022249
14,0.56,-1.02776457158e-08,-6.18697299298e-08,-22.0397588775,4.52014707313,4.52014712575,490.270004907,4.52014707313,4.52014712575,4.51903352875,0.999968261931,-1.03363393135e-08,-6.31363811674e-08,-22.0397716889,0.929751490454,0.929751489649,0.987729447602,2.12609178977,2.12609180241,2.12581385234
15,0.6,-1.21407155327e-08,-7.2073724561e-08,-21.8997544497,4.52312933071,4.52312939198,484.121358674,4.52312933071,4.52312939198,4.52211371603,0.999968000453,-1.22123337257e-08,-7.35578575827e-08,-21.8997676277,0.929706548351,0.929706547413,0.987721129122,2.12679716354,2.12679717826,2.12653876664
16,0.64,-1.42122898561e-08,-8.32210232118e-08,-21.7597497117,4.52631761696,4.52631768768,478.012120037,4.52631761696,4.52631768768,4.52541251999,0.999967774934,-1.4298778367e-08,-8.49448437357e-08,-21.7597632703,0.929658503938,0.929658502855,0.987712220665,2.12755100765,2.12755102463,2.12731482732
