t_au,wp_centroid_z,wp_weight
0.0,-12.99830590674763,15.625000000000007
1.84,-7.734894245734844,15.634699861324439
3.68,-2.532896419961495,16.042753355175893
5.5200000000000005,1.7664474359916684,16.733784574816834
7.36,3.7132578419348534,16.43444216360539
9.200000000000001,3.1589343256987203,15.238520075387907
11.040000000000001,2.1329704095171644,13.731159150016653
12.88,1.466907056776358,12.202435200226379
14.72,1.031433121421712,10.54663630372023
16.56,0.6602712547789688,8.88131156362967
18.400000000000002,0.16504122310992886,7.106777088737815
20.240000000000002,-0.12915569479262876,5.682647743425628
22.080000000000002,0.06526777627982025,4.709024795364049
23.92,-0.4931090442038652,3.3332985987555013
25.76,-0.5148219779684842,2.4746519320202296
27.6,-0.4620022234349432,1.7011482738119053
29.44,-0.21590652480043343,1.1485885801584033
31.28,-1.306304807034352,0.5899497157312077
33.12,0.5809295670077375,1.0523185966723172
34.96,-6.1936744564710935,0.44984325631975214
36.800000000000004,-5.212069207236493,0.6714997763166809
38.64,-4.409364038072461,0.9145991870150849
40.480000000000004,-3.7921412260720104,1.1708148301178354
42.32,-3.2857795892800095,1.3985629399079558
44.160000000000004,-1.8531816180143408,1.9532638441025858
46.0,-2.389664929990321,1.7602201562057578
47.84,-2.0857329487945644,1.876004278080991
49.68,-1.3693487278346546,2.2090828005933227
51.52,-1.6394882504938737,1.9818268270971198
53.36,-1.409017639324537,2.0026833131065995
55.2,-1.246750390800013,1.9764625724816114
57.04,-0.8153042429852371,2.106292101121941
58.88,-0.9534576094540493,1.890137452078832
60.72,-0.866587767568707,1.8299420714122558
62.56,-0.8050822616201239,1.7682828391039584
64.4,-0.7817424787484819,1.700800215516834
66.24,-0.5250487068510704,1.784832092706288
68.08,-0.8158428856321572,1.55977580446725
69.92,-0.8509378048699544,1.4834391101752242
71.76,-0.8997401897564425,1.3865073547515518
73.60000000000001,-0.9520259608637412,1.2764448726769775
75.44,-0.9940595481677704,1.1497453923181868
77.28,-0.9732812226033729,1.0179598862763277
79.12,-0.6535480564092733,0.9544792008331895
80.96000000000001,-0.6282315431339606,0.7552872293585324
82.8,-0.2072398408340079,0.6363119683071179
84.64,0.41077950771131067,0.5307472816790783
86.48,1.3249723375063265,0.4747264851313504
88.32000000000001,2.3736248916596345,0.4804030993469801
90.16,3.3738872186467725,0.3877597254271992
92.0,4.128057672433105,0.41422542314326427
93.84,4.779802429611796,0.39638049488955246
95.68,5.1406518912836425,0.3952584081165061
97.52,5.11430726060745,0.41194658625381203
99.36,3.9811366912174093,0.5222508103284249
101.2,4.702635916346236,0.44092959181179486
103.04,4.3607764999403535,0.4553705376562185
104.88,3.655351671912263,0.4919894939325492
106.72,2.962365747755035,0.511872560466223
108.56,2.0380948302698956,0.5784717005437848
110.4,1.477474582636208,0.5578028209295152
112.24000000000001,0.7864105058969776,0.5586362244323426
114.08,0.026139508049649124,0.5925060026730067
115.92,-0.6161621175837098,0.5612436919006837
117.76,-1.2885091661481636,0.554728232066195
119.60000000000001,-1.8369180221470232,0.572532479156623
121.44,-2.5266878150798866,0.5371951211476014
123.28,-3.063766120541639,0.5276988690133916
125.12,-3.508528839240549,0.5203874716750606
126.96000000000001,-3.8645724122288208,0.5148375365733425
128.8,-4.084561353810645,0.5144364682692516
130.64000000000001,-4.052209786004197,0.5239187411766885
132.48,-3.3518451142037455,0.5779483154087783
134.32,-4.121504870132304,0.5328859111219791
136.16,-4.2892626222186685,0.5261243271436362
138.0,-4.210975129507973,0.5265149660007112
139.84,-4.103352207606704,0.5239287574957506
