t_au,wp_centroid_z,wp_weight
0.0,-12.99830590674763,15.625000000000007
0.46,-11.730223146301805,15.624445259211855
0.92,-10.424902144813514,15.625572901469035
1.3800000000000001,-9.09022429948268,15.629645907451724
1.84,-7.734894245734844,15.634699861324439
2.3000000000000003,-6.372992697077451,15.645614613431448
2.7600000000000002,-5.041197682731901,15.715039072824522
3.22,-3.7601056547692044,15.85589777628534
3.68,-2.532896419961495,16.042753355175893
4.14,-1.3542217384465032,16.24809387925005
4.6000000000000005,-0.22677615727231093,16.45051145131688
5.0600000000000005,0.8265294421682048,16.622115573779205
5.5200000000000005,1.7664474359916684,16.733784574816834
5.98,2.5553197523008353,16.767694863227018
6.44,3.1438945802115192,16.728535428508074
6.9,3.539235388728535,16.609300644065147
7.36,3.7132578419348534,16.43444216360539
7.82,3.712975332146626,16.205651893932234
8.28,3.6090357112725298,15.921144822062544
8.74,3.422498849710765,15.594450552057335
9.200000000000001,3.1589343256987203,15.238520075387907
9.66,2.9086817791782917,14.861667541500525
10.120000000000001,2.6207657504535495,14.465596742196855
10.58,2.37690576389142,14.085121100775432
