run,t_au,N_free,N_slab,N_total
b1_eta0p10,84.1800,15.2567,5.2566,20.5133
b1_eta0p10,84.6400,15.0809,5.2311,20.3120
b1_eta0p10,85.1000,14.9070,5.2045,20.1115
b1_eta0p10,85.5600,14.7352,5.1765,19.9117
b1_eta0p10,86.0200,14.5657,5.1470,19.7127
b1_eta0p10,86.4800,14.3984,5.1160,19.5145
b1_eta0p10,86.9400,14.2337,5.0834,19.3171
b1_eta0p10,87.4000,14.0715,5.0493,19.1208
b1_eta0p10,87.8600,13.9119,5.0135,18.9254
b1_eta0p10,88.3200,13.7550,4.9762,18.7312
b1_eta0p10,88.7800,13.6008,4.9374,18.5382
b1_eta0p10,89.2400,13.4493,4.8972,18.3465
b1_eta0p10,89.7000,13.3005,4.8557,18.1562
b1_eta0p10,90.1600,13.1545,4.8129,17.9674
b1_eta0p10,90.6200,13.0113,4.7689,17.7801
b1_eta0p10,91.0800,12.8708,4.7238,17.5945
b1_eta0p10,91.5400,12.7330,4.6777,17.4107
b1_eta0p10,92.0000,12.5980,4.6307,17.2287
b1_eta0p10,92.4600,12.4658,4.5829,17.0486
b1_eta0p10,92.9200,12.3362,4.5343,16.8705
b1_eta0p10,93.3800,12.2093,4.4852,16.6945
b1_eta0p10,93.8400,12.0851,4.4356,16.5206
b1_eta0p10,94.3000,11.9634,4.3855,16.3489
b1_eta0p10,94.7600,11.8443,4.3352,16.1795
b1_eta0p10,95.2200,11.7277,4.2847,16.0123
b1_eta0p10,95.6800,11.6135,4.2340,15.8475
b1_eta0p10,96.1400,11.5019,4.1832,15.6851
b1_eta0p10,96.6000,11.3927,4.1324,15.5250
b1_eta0p10,97.0600,11.2858,4.0816,15.3674
b1_eta0p10,97.5200,11.1814,4.0308,15.2122
b1_eta0p10,97.9800,11.0793,3.9802,15.0595
b1_eta0p10,98.4400,10.9795,3.9296,14.9091
b1_eta0p10,98.9000,10.8821,3.8791,14.7612
b1_eta0p10,99.3600,10.7870,3.8287,14.6157
b1_eta0p10,99.8200,10.6941,3.7785,14.4726
b1_eta0p10,100.2800,10.6035,3.7284,14.3318
b1_eta0p10,100.7400,10.5150,3.6784,14.1934
b1_eta0p10,101.2000,10.4286,3.6287,14.0573
b1_eta0p10,101.6600,10.3442,3.5793,13.9235
b1_eta0p10,102.1200,10.2618,3.5301,13.7919
b1_eta0p10,102.5800,10.1813,3.4814,13.6626
b1_eta0p10,103.0400,10.1024,3.4331,13.5355
b1_eta0p10,103.5000,10.0252,3.3854,13.4106
b1_eta0p10,103.9600,9.9495,3.3383,13.2879
b1_eta0p10,104.4200,9.8752,3.2921,13.1673
b1_eta0p10,104.8800,9.8021,3.2467,13.0488
b1_eta0p10,105.3400,9.7302,3.2023,12.9325
b1_eta0p10,105.8000,9.6592,3.1590,12.8182
b1_eta0p10,106.2600,9.5892,3.1168,12.7059
b1_eta0p10,106.7200,9.5199,3.0758,12.5957
b1_eta0p10,107.1800,9.4514,3.0360,12.4874
b1_eta0p10,107.6400,9.3834,2.9976,12.3810
b1_eta0p10,108.1000,9.3160,2.9605,12.2765
b1_eta0p10,108.5600,9.2491,2.9247,12.1738
b1_eta0p10,109.0200,9.1827,2.8902,12.0729
b1_eta0p10,109.4800,9.1166,2.8571,11.9737
b1_eta0p10,109.9400,9.0508,2.8252,11.8760
b1_eta0p10,110.4000,8.9853,2.7947,11.7800
b1_eta0p10,110.8600,8.9200,2.7655,11.6854
b1_eta0p10,111.3200,8.8549,2.7375,11.5923
b1_eta0p10,111.7800,8.7899,2.7106,11.5006
b1_eta0p10,112.2400,8.7251,2.6850,11.4101
b1_eta0p10,112.7000,8.6605,2.6604,11.3209
b1_eta0p10,113.1600,8.5959,2.6370,11.2329
b1_eta0p10,113.6200,8.5315,2.6145,11.1460
b1_eta0p10,114.0800,8.4671,2.5931,11.0602
b1_eta0p10,114.5400,8.4029,2.5726,10.9755
b1_eta0p10,115.0000,8.3387,2.5531,10.8918
b1_eta0p10,115.4600,8.2745,2.5345,10.8090
b1_eta0p10,115.9200,8.2104,2.5168,10.7272
b1_eta0p10,116.3800,8.1464,2.4999,10.6463
b1_eta0p10,116.8400,8.0824,2.4839,10.5663
b1_eta0p10,117.3000,8.0185,2.4686,10.4871
b1_eta0p10,117.7600,7.9547,2.4541,10.4088
b1_eta0p10,118.2200,7.8911,2.4403,10.3314
b1_eta0p10,118.6800,7.8276,2.4271,10.2547
b1_eta0p10,119.1400,7.7643,2.4146,10.1788
b1_eta0p10,119.6000,7.7012,2.4025,10.1037
b1_eta0p10,120.0600,7.6383,2.3910,10.0293
b1_eta0p10,120.5200,7.5757,2.3799,9.9556
b1_eta0p10,120.9800,7.5135,2.3692,9.8827
b1_eta0p10,121.4400,7.4516,2.3588,9.8104
b1_eta0p10,121.9000,7.3902,2.3486,9.7388
b1_eta0p10,122.3600,7.3292,2.3386,9.6678
b1_eta0p10,122.8200,7.2686,2.3287,9.5974
b1_eta0p10,123.2800,7.2086,2.3189,9.5276
b1_eta0p10,123.7400,7.1492,2.3092,9.4584
b1_eta0p10,124.2000,7.0903,2.2994,9.3897
b1_eta0p10,124.6600,7.0319,2.2897,9.3216
b1_eta0p10,125.1200,6.9741,2.2799,9.2540
b1_eta0p10,125.5800,6.9167,2.2701,9.1869
b1_eta0p10,126.0400,6.8599,2.2604,9.1203
b1_eta0p10,126.5000,6.8034,2.2507,9.0542
b1_eta0p10,126.9600,6.7474,2.2412,8.9886
b1_eta0p10,127.4200,6.6916,2.2318,8.9234
b1_eta0p10,127.8800,6.6362,2.2226,8.8588
b1_eta0p10,128.3400,6.5809,2.2137,8.7946
b1_eta0p10,128.8000,6.5258,2.2050,8.7308
b1_eta0p10,129.2600,6.4707,2.1968,8.6675
b1_eta0p10,129.7200,6.4157,2.1889,8.6046
b1_eta0p10,130.1800,6.3607,2.1815,8.5422
b1_eta0p10,130.6400,6.3056,2.1745,8.4802
b1_eta0p10,131.1000,6.2505,2.1681,8.4185
b1_eta0p10,131.5600,6.1952,2.1621,8.3573
b1_eta0p10,132.0200,6.1398,2.1567,8.2965
b1_eta0p10,132.4800,6.0842,2.1518,8.2360
b1_eta0p10,132.9400,6.0285,2.1473,8.1758
b1_eta0p10,133.4000,5.9727,2.1433,8.1160
b1_eta0p10,133.8600,5.9168,2.1397,8.0565
b1_eta0p10,134.3200,5.8608,2.1364,7.9973
b1_eta0p10,134.7800,5.8048,2.1335,7.9383
b1_eta0p10,135.2400,5.7488,2.1308,7.8796
b1_eta0p10,135.7000,5.6928,2.1282,7.8211
b1_eta0p10,136.1600,5.6370,2.1258,7.7627
b1_eta0p10,136.6200,5.5813,2.1233,7.7046
b1_eta0p10,137.0800,5.5258,2.1208,7.6466
b1_eta0p10,137.5400,5.4706,2.1182,7.5888
b1_eta0p10,138.0000,5.4157,2.1154,7.5311
b1_eta0p10,138.4600,5.3612,2.1123,7.4735
b1_eta0p10,138.9200,5.3072,2.1089,7.4160
b1_eta0p10,139.3800,5.2536,2.1050,7.3586
b1_eta0p10,139.8400,5.2006,2.1008,7.3013
