step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
1933,77.32,-219.325951394,-5.49993692633e-18,-1.54108138128e-07,434.108833982,1.54402918156e-07,-214.717785708,-219.325951548,434.108834136,1.36764793856e-08,99.9700449891
1934,77.36,-219.327327289,-5.45527073915e-18,-1.534809668e-07,434.109851381,1.53764188711e-07,-214.717785708,-219.327327443,434.109851535,1.36223297325e-08,99.9699538649
1935,77.4,-219.328645447,-5.4108051392e-18,-1.52853738383e-07,434.110826792,1.53125460287e-07,-214.717785708,-219.3286456,434.110826945,1.35683264257e-08,99.9698626368
1936,77.44,-219.329905875,-5.36656233396e-18,-1.52226726777e-07,434.111760319,1.52487009597e-07,-214.717785708,-219.329906028,434.111760472,1.35144865348e-08,99.9697713055
1937,77.48,-219.331108589,-5.32256584031e-18,-1.51600223273e-07,434.11265207,1.51849130717e-07,-214.717785708,-219.331108741,434.112652222,1.34608278e-08,99.9696798715
1938,77.52,-219.332253607,-5.27884002811e-18,-1.50974527446e-07,434.113502149,1.51212125929e-07,-214.717785708,-219.332253758,434.1135023,1.34073681013e-08,99.9695883351
1939,77.56,-219.333340951,-5.23540950084e-18,-1.50349938805e-07,434.114310664,1.50576297302e-07,-214.717785708,-219.333341102,434.114310815,1.33541249829e-08,99.9694966969
1940,77.6,-219.33437065,-5.19229833792e-18,-1.49726749407e-07,434.115077722,1.4994193927e-07,-214.717785708,-219.334370799,434.115077872,1.33011152416e-08,99.9694049573
1941,77.64,-219.335342734,-5.14952940853e-18,-1.49105237645e-07,434.115803428,1.49309332383e-07,-214.717785708,-219.335342883,434.115803578,1.32483545918e-08,99.969313117
1942,77.68,-219.336257241,-5.10712395696e-18,-1.48485663374e-07,434.116487891,1.48678738395e-07,-214.717785708,-219.336257389,434.11648804,1.31958574128e-08,99.9692211762
1943,77.72,-219.337114211,-5.06510146806e-18,-1.47868264435e-07,434.117131218,1.48050396768e-07,-214.717785708,-219.337114359,434.117131366,1.31436365819e-08,99.9691291356
1944,77.76,-219.33791369,-5.02347962885e-18,-1.47253254599e-07,434.117733515,1.4742452259e-07,-214.717785708,-219.337913837,434.117733662,1.30917033951e-08,99.9690369956
1945,77.8,-219.338655727,-4.98227418567e-18,-1.46640822893e-07,434.118294891,1.46801305896e-07,-214.717785708,-219.338655874,434.118295037,1.30400675719e-08,99.9689447568
1946,77.84,-219.339340378,-4.94149866667e-18,-1.46031134243e-07,434.118815452,1.46180912321e-07,-214.717785708,-219.339340524,434.118815598,1.29887373382e-08,99.9688524195
