step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.0772626898446,-12.3099172918,431.830598261,12.3099140721,-214.717785708,-229.30879292,444.140512333,1,101
1,0.04,-217.076138165,0.0772609743832,-12.2482527032,431.83059811,12.2482464897,-214.717785708,-229.247129894,444.0788446,0.999992685466,100.999992683
2,0.08,-217.076138278,0.0772559462311,-12.1866162542,431.830598227,12.1866026624,-214.717785708,-229.185498586,444.01720089,0.999986812289,100.999986807
3,0.12,-217.076138664,0.0772476010856,-12.125003483,431.83059862,12.124978111,-214.717785708,-229.123894546,443.955576731,0.999982111559,100.999982103
4,0.16,-217.076139332,0.0772359368018,-12.063410713,431.830599299,12.0633691399,-214.717785708,-229.062314108,443.893968439,0.999978361212,100.99997835
5,0.2,-217.076140289,0.0772209530882,-12.0018349262,431.830600275,12.0017727107,-214.717785708,-229.000754262,443.832372986,0.999975378511,100.999975365
6,0.24,-217.076141546,0.0772026512615,-11.9402736549,431.830601561,11.9401863331,-214.717785708,-228.939212549,443.770787895,0.999973013627,100.999972998
7,0.28,-217.076143111,0.0771810340505,-11.8787248897,431.830603172,11.8786079734,-214.717785708,-228.877686967,443.709211145,0.999971144164,100.999971126
8,0.32,-217.076144997,0.0771561054393,-11.8171870013,431.830605123,11.8170359758,-214.717785708,-228.816175893,443.647641098,0.999969670508,100.99996965
9,0.36,-217.076147214,0.0771278705419,-11.7556586753,431.830607432,11.7554689968,-214.717785708,-228.754678019,443.586076428,0.999968511899,100.999968489
10,0.4,-217.076149776,0.0770963355025,-11.6941388568,431.830610118,11.6939059496,-214.717785708,-228.693192297,443.524516068,0.999967603114,100.999967578
11,0.44,-217.076152696,0.0770615074161,-11.6326267038,431.830613204,11.6323459577,-214.717785708,-228.631717892,443.462959161,0.999966891685,100.999966865
12,0.48,-217.076155989,0.0770233942643,-11.5711215493,431.830616711,11.5707883156,-214.717785708,-228.570254144,443.401405027,0.999966335574,100.999966307
13,0.52,-217.076159671,0.0769820048634,-11.5096228686,431.830620666,11.5092324572,-214.717785708,-228.508800535,443.339853124,0.99996590123,100.99996587
14,0.56,-217.07616376,0.0769373488214,-11.4481302538,431.830625096,11.4476779284,-214.717785708,-228.447356665,443.278303024,0.999965561987,100.999965529
15,0.6,-217.076168274,0.0768894365028,-11.3866433914,431.83063003,11.3861243653,-214.717785708,-228.385922229,443.216754395,0.999965296734,100.999965262
16,0.64,-217.076173235,0.0768382789971,-11.3251620451,431.8306355,11.3245714763,-214.717785708,-228.324497001,443.155206977,0.999965088824,100.999965052
17,0.68,-217.076178663,0.0767838880922,-11.2636860414,431.830641541,11.2630190271,-214.717785708,-228.263080816,443.093660568,0.999964925187,100.999964887
18,0.72,-217.076184582,0.0767262762488,-11.2022152582,431.830648188,11.2014668286,-214.717785708,-228.201673564,443.032115017,0.999964795601,100.999964756
19,0.76,-217.076191018,0.0766654565776,-11.1407496153,431.830655482,11.1399147275,-214.717785708,-228.140275177,442.97057021,0.999964692104,100.99996465
20,0.8,-217.076197999,0.0766014428166,-11.079289068,431.830663465,11.0783625981,-214.717785708,-228.078885624,442.909026063,0.99996460852,100.999964565
21,0.84,-217.076205554,0.0765342493083,-11.0178336004,431.830672181,11.0168103363,-214.717785708,-228.017504905,442.847482517,0.999964540077,100.999964495
22,0.88,-217.076213716,0.076463890978,-10.9563832221,431.830681679,10.9552578545,-214.717785708,-227.956133047,442.785939533,0.999964483101,100.999964437
23,0.92,-217.076222517,0.0763903833104,-10.8949379646,431.83069201,10.8937050779,-214.717785708,-227.894770099,442.724397088,0.99996443478,100.999964387
24,0.96,-217.076231997,0.0763137423265,-10.8334978792,431.830703229,10.8321519411,-214.717785708,-227.833416133,442.66285517,0.999964392963,100.999964343
25,1,-217.076242193,0.0762339845595,-10.7720630356,431.830715394,10.770598386,-214.717785708,-227.772071244,442.60131378,0.999964356019,100.999964305
26,1.04,-217.07625315,0.0761511270299,-10.7106335207,431.830728568,10.7090443602,-214.717785708,-227.710735544,442.539772928,0.999964322709,100.99996427
27,1.08,-217.076264913,0.0760651872198,-10.6492094388,431.830742816,10.6474898153,-214.717785708,-227.649409165,442.478232631,0.999964292101,100.999964238
28,1.12,-217.076277532,0.0759761830465,-10.5877909113,431.830758209,10.5859347064,-214.717785708,-227.58809226,442.416692916,0.999964263494,100.999964208
29,1.16,-217.07629106,0.0758841328354,-10.5263780777,431.830774822,10.5243789918,-214.717785708,-227.526785005,442.355153813,0.999964236362,100.99996418
30,1.2,-217.076305553,0.0757890552913,-10.4649710961,431.830792733,10.4628226322,-214.717785708,-227.465487594,442.293615365,0.999964210316,100.999964152
31,1.24,-217.076321073,0.0756909694704,-10.4035701445,431.830812028,10.4012655914,-214.717785708,-227.404200248,442.232077619,0.999964185065,100.999964126
32,1.28,-217.076337685,0.0755898947504,-10.3421754223,431.830832795,10.3397078366,-214.717785708,-227.342923213,442.170540632,0.999964160394,100.9999641
33,1.32,-217.07635546,0.0754858508006,-10.2807871523,431.83085513,10.2781493386,-214.717785708,-227.281656762,442.109004469,0.999964136145,100.999964074
34,1.36,-217.076374473,0.0753788575514,-10.2194055821,431.830879133,10.2165900735,-214.717785708,-227.220401198,442.047469207,0.999964112201,100.999964049
35,1.4,-217.076394804,0.0752689351636,-10.1580309871,431.830904912,10.1550300233,-214.717785708,-227.159156856,441.985934935,0.999964088479,100.999964024
36,1.44,-217.076416539,0.0751561039972,-10.0966636723,431.830932579,10.0934691775,-214.717785708,-227.097924107,441.924401756,0.999964064917,100.999963999
